geometry,condition,sample_size,repeat,fine_clusters,effective_clusters
original,unconditional,231,18,231,230.99999999999972
original,unconditional,231,19,231,230.99999999999972
refolded,1.x.x.x,25,0,24,23.651441168139897
refolded,1.x.x.x,25,1,25,24.999999999999986
refolded,1.x.x.x,25,2,25,24.999999999999986
refolded,1.x.x.x,25,3,25,24.999999999999986
refolded,1.x.x.x,25,4,25,24.999999999999986
refolded,1.x.x.x,25,5,24,23.651441168139897
refolded,1.x.x.x,25,6,25,24.999999999999986
refolded,1.x.x.x,25,7,25,24.999999999999986
refolded,1.x.x.x,25,8,25,24.999999999999986
refolded,1.x.x.x,25,9,25,24.999999999999986
refolded,1.x.x.x,25,10,25,24.999999999999986
refolded,1.x.x.x,25,11,25,24.999999999999986
refolded,1.x.x.x,25,12,25,24.999999999999986
refolded,1.x.x.x,25,13,25,24.999999999999986
refolded,1.x.x.x,25,14,25,24.999999999999986
refolded,1.x.x.x,25,15,25,24.999999999999986
refolded,1.x.x.x,25,16,25,24.999999999999986
refolded,1.x.x.x,25,17,25,24.999999999999986
refolded,1.x.x.x,25,18,25,24.999999999999986
refolded,1.x.x.x,25,19,25,24.999999999999986
refolded,1.x.x.x,50,0,50,49.99999999999997
refolded,1.x.x.x,50,1,48,47.30288233627977
refolded,1.x.x.x,50,2,49,48.63274737061424
refolded,1.x.x.x,50,3,50,49.99999999999997
refolded,1.x.x.x,50,4,50,49.99999999999997
refolded,1.x.x.x,50,5,50,49.99999999999997
refolded,1.x.x.x,50,6,50,49.99999999999997
refolded,1.x.x.x,50,7,49,48.63274737061424
refolded,1.x.x.x,50,8,48,47.30288233627977
refolded,1.x.x.x,50,9,49,48.63274737061424
refolded,1.x.x.x,50,10,50,49.99999999999997
refolded,1.x.x.x,50,11,50,49.99999999999997
refolded,1.x.x.x,50,12,50,49.99999999999997
refolded,1.x.x.x,50,13,48,47.30288233627977
refolded,1.x.x.x,50,14,50,49.99999999999997
refolded,1.x.x.x,50,15,50,49.99999999999997
refolded,1.x.x.x,50,16,50,49.99999999999997
refolded,1.x.x.x,50,17,49,48.63274737061424
refolded,1.x.x.x,50,18,49,48.63274737061424
refolded,1.x.x.x,50,19,50,49.99999999999997
refolded,1.x.x.x,100,0,95,93.30329915368053
refolded,1.x.x.x,100,1,95,92.33197489262908
refolded,1.x.x.x,100,2,96,93.3032991536807
refolded,1.x.x.x,100,3,98,97.2654947412285
refolded,1.x.x.x,100,4,97,95.42578965330634
refolded,1.x.x.x,100,5,93,86.06420022056666
refolded,1.x.x.x,100,6,95,90.99780148824632
