model,mode,predictor,range,cut,mean_precision
protenix-v2,single_seq,structure,medium,AUC,0.8405190654242412
protenix-v2,single_seq,structure,medium,L,0.14265288622086644
protenix-v2,single_seq,structure,medium,L/2,0.2787974134954272
protenix-v2,single_seq,structure,medium,L/5,0.5583109523536647
protenix-v2,single_seq,structure,medium,R,0.6278108211907913
protenix-v2,single_seq,structure,short,AUC,0.8528957836290899
protenix-v2,single_seq,structure,short,L,0.09361178557161248
protenix-v2,single_seq,structure,short,L/2,0.18209951696677984
protenix-v2,single_seq,structure,short,L/5,0.4222749922030555
protenix-v2,single_seq,structure,short,R,0.6454019764795024
seq-knn-k1,single_seq,knn,all,AUC,0.6436482638020313
seq-knn-k1,single_seq,knn,all,L,0.257045335103399
seq-knn-k1,single_seq,knn,all,L/2,0.33782739148407404
seq-knn-k1,single_seq,knn,all,L/5,0.3679385758669808
seq-knn-k1,single_seq,knn,all,R,0.28542411365951936
seq-knn-k1,single_seq,knn,long,AUC,0.6334624833220127
seq-knn-k1,single_seq,knn,long,L,0.14686548300093755
seq-knn-k1,single_seq,knn,long,L/2,0.25524612333434316
seq-knn-k1,single_seq,knn,long,L/5,0.3296457870437122
seq-knn-k1,single_seq,knn,long,R,0.26405713271457404
seq-knn-k1,single_seq,knn,medium,AUC,0.6515103040676424
seq-knn-k1,single_seq,knn,medium,L,0.07746573971759134
seq-knn-k1,single_seq,knn,medium,L/2,0.14271784891101386
seq-knn-k1,single_seq,knn,medium,L/5,0.2766879083796712
seq-knn-k1,single_seq,knn,medium,R,0.29588327966773215
seq-knn-k1,single_seq,knn,short,AUC,0.6602348161747297
seq-knn-k1,single_seq,knn,short,L,0.060570046584591475
seq-knn-k1,single_seq,knn,short,L/2,0.10683133887089492
seq-knn-k1,single_seq,knn,short,L/5,0.2407965853130596
seq-knn-k1,single_seq,knn,short,R,0.31514727857964026
seq-knn-k1-noself,single_seq,knn,all,AUC,0.643162961860918
seq-knn-k1-noself,single_seq,knn,all,L,0.25645753541812644
seq-knn-k1-noself,single_seq,knn,all,L/2,0.33724074888479605
seq-knn-k1-noself,single_seq,knn,all,L/5,0.36751045404896726
seq-knn-k1-noself,single_seq,knn,all,R,0.2845058631154873
seq-knn-k1-noself,single_seq,knn,long,AUC,0.6329482667091539
seq-knn-k1-noself,single_seq,knn,long,L,0.14651141468658047
seq-knn-k1-noself,single_seq,knn,long,L/2,0.254535383262141
seq-knn-k1-noself,single_seq,knn,long,L/5,0.32906724404639665
seq-knn-k1-noself,single_seq,knn,long,R,0.2630350397827398
seq-knn-k1-noself,single_seq,knn,medium,AUC,0.6514958973057402
seq-knn-k1-noself,single_seq,knn,medium,L,0.07746805388958061
seq-knn-k1-noself,single_seq,knn,medium,L/2,0.14272160944049642
seq-knn-k1-noself,single_seq,knn,medium,L/5,0.2766994792396175
seq-knn-k1-noself,single_seq,knn,medium,R,0.2956572398847303
seq-knn-k1-noself,single_seq,knn,short,AUC,0.6593589314153999
seq-knn-k1-noself,single_seq,knn,short,L,0.06042425374926795
seq-knn-k1-noself,single_seq,knn,short,L/2,0.10653801757125594
seq-knn-k1-noself,single_seq,knn,short,L/5,0.23962792845848216
seq-knn-k1-noself,single_seq,knn,short,R,0.3134880873897631
seq-knn-k1-noself-plain,single_seq,knn,all,AUC,0.643162961860918
seq-knn-k1-noself-plain,single_seq,knn,all,L,0.25645753541812644
seq-knn-k1-noself-plain,single_seq,knn,all,L/2,0.33724074888479605
seq-knn-k1-noself-plain,single_seq,knn,all,L/5,0.36751045404896726
seq-knn-k1-noself-plain,single_seq,knn,all,R,0.2845058631154873
seq-knn-k1-noself-plain,single_seq,knn,long,AUC,0.6329482667091539
seq-knn-k1-noself-plain,single_seq,knn,long,L,0.14651141468658047
seq-knn-k1-noself-plain,single_seq,knn,long,L/2,0.254535383262141
seq-knn-k1-noself-plain,single_seq,knn,long,L/5,0.32906724404639665
seq-knn-k1-noself-plain,single_seq,knn,long,R,0.2630350397827398
seq-knn-k1-noself-plain,single_seq,knn,medium,AUC,0.6514958973057402
seq-knn-k1-noself-plain,single_seq,knn,medium,L,0.07746805388958061
seq-knn-k1-noself-plain,single_seq,knn,medium,L/2,0.14272160944049642
seq-knn-k1-noself-plain,single_seq,knn,medium,L/5,0.2766994792396175
seq-knn-k1-noself-plain,single_seq,knn,medium,R,0.2956572398847303
seq-knn-k1-noself-plain,single_seq,knn,short,AUC,0.6593589314153999
seq-knn-k1-noself-plain,single_seq,knn,short,L,0.06042425374926795
seq-knn-k1-noself-plain,single_seq,knn,short,L/2,0.10653801757125594
seq-knn-k1-noself-plain,single_seq,knn,short,L/5,0.23962792845848216
seq-knn-k1-noself-plain,single_seq,knn,short,R,0.3134880873897631
seq-knn-k1-plain,single_seq,knn,all,AUC,0.6436482638020313
seq-knn-k1-plain,single_seq,knn,all,L,0.257045335103399
seq-knn-k1-plain,single_seq,knn,all,L/2,0.33782739148407404
seq-knn-k1-plain,single_seq,knn,all,L/5,0.3679385758669808
seq-knn-k1-plain,single_seq,knn,all,R,0.28542411365951936
seq-knn-k1-plain,single_seq,knn,long,AUC,0.6334624833220127
seq-knn-k1-plain,single_seq,knn,long,L,0.14686548300093755
seq-knn-k1-plain,single_seq,knn,long,L/2,0.25524612333434316
seq-knn-k1-plain,single_seq,knn,long,L/5,0.3296457870437122
seq-knn-k1-plain,single_seq,knn,long,R,0.26405713271457404
seq-knn-k1-plain,single_seq,knn,medium,AUC,0.6515103040676424
seq-knn-k1-plain,single_seq,knn,medium,L,0.07746573971759134
seq-knn-k1-plain,single_seq,knn,medium,L/2,0.14271784891101386
seq-knn-k1-plain,single_seq,knn,medium,L/5,0.2766879083796712
seq-knn-k1-plain,single_seq,knn,medium,R,0.29588327966773215
seq-knn-k1-plain,single_seq,knn,short,AUC,0.6602348161747297
seq-knn-k1-plain,single_seq,knn,short,L,0.060570046584591475
seq-knn-k1-plain,single_seq,knn,short,L/2,0.10683133887089492
seq-knn-k1-plain,single_seq,knn,short,L/5,0.2407965853130596
seq-knn-k1-plain,single_seq,knn,short,R,0.31514727857964026
seq-knn-k10,single_seq,knn,all,AUC,0.7109436678857999
seq-knn-k10,single_seq,knn,all,L,0.32363115461151254
seq-knn-k10,single_seq,knn,all,L/2,0.40855183316041616
seq-knn-k10,single_seq,knn,all,L/5,0.4637611583114329
seq-knn-k10,single_seq,knn,all,R,0.3449053280695465
seq-knn-k10,single_seq,knn,long,AUC,0.701026325624145
seq-knn-k10,single_seq,knn,long,L,0.21007564468585002
seq-knn-k10,single_seq,knn,long,L/2,0.3196916844556954
seq-knn-k10,single_seq,knn,long,L/5,0.4073235865891064
seq-knn-k10,single_seq,knn,long,R,0.3241280464109681
seq-knn-k10,single_seq,knn,medium,AUC,0.720162887412806
seq-knn-k10,single_seq,knn,medium,L,0.10412196825438053
seq-knn-k10,single_seq,knn,medium,L/2,0.19403351857786394
seq-knn-k10,single_seq,knn,medium,L/5,0.3431967451408215
seq-knn-k10,single_seq,knn,medium,R,0.35769898424447494
seq-knn-k10,single_seq,knn,short,AUC,0.7226143082667448
seq-knn-k10,single_seq,knn,short,L,0.07559382691138541
seq-knn-k10,single_seq,knn,short,L/2,0.1401427600891917
seq-knn-k10,single_seq,knn,short,L/5,0.298178017943496
seq-knn-k10,single_seq,knn,short,R,0.36749423717304663
seq-knn-k10-noself,single_seq,knn,all,AUC,0.7109125448411532
seq-knn-k10-noself,single_seq,knn,all,L,0.3235108176680709
seq-knn-k10-noself,single_seq,knn,all,L/2,0.4084916646886953
seq-knn-k10-noself,single_seq,knn,all,L/5,0.46361073713213075
seq-knn-k10-noself,single_seq,knn,all,R,0.3445981963236545
seq-knn-k10-noself,single_seq,knn,long,AUC,0.701017356642251
seq-knn-k10-noself,single_seq,knn,long,L,0.21007333051386076
seq-knn-k10-noself,single_seq,knn,long,L/2,0.3195713475122538
seq-knn-k10-noself,single_seq,knn,long,L/5,0.4071731654098043
seq-knn-k10-noself,single_seq,knn,long,R,0.32389217881131405
seq-knn-k10-noself,single_seq,knn,medium,AUC,0.7201620656367259
seq-knn-k10-noself,single_seq,knn,medium,L,0.10412196825438053
seq-knn-k10-noself,single_seq,knn,medium,L/2,0.19403351857786394
seq-knn-k10-noself,single_seq,knn,medium,L/5,0.34304632396151946
seq-knn-k10-noself,single_seq,knn,medium,R,0.35769898424447494
seq-knn-k10-noself,single_seq,knn,short,AUC,0.7224980923240719
seq-knn-k10-noself,single_seq,knn,short,L,0.07556374267552501
seq-knn-k10-noself,single_seq,knn,short,L/2,0.1400825916174709
