eval_set,n_pairs,metric,n_targets,mean_effective_pairs,mean_prediction,oracle_best,confidence_top
eval-val,236,rmsd,1,234,8.888078263413291,8.790292378830967,9.004821604308978
eval-val,236,tm_score,1,234,0.5913540482653243,0.5996478469248046,0.5929091309525408
eval-val,238,gdt_ts,1,234,0.17047377326565144,0.18274111675126903,0.1598984771573604
eval-val,238,lddt,1,234,0.5247858727331968,0.5347702957835117,0.5142678052568858
eval-val,238,rmsd,1,234,6.473889437178359,5.970362402645391,6.647792239564778
eval-val,238,tm_score,1,234,0.6116477590226973,0.6194249401592796,0.6009071889187971
eval-val,240,gdt_ts,50,239.7,0.47381464384299515,0.49405738715350817,0.47591253324488203
eval-val,240,lddt,50,239.7,0.6277599194430916,0.6335194938276221,0.6300900249553993
eval-val,240,rmsd,50,239.7,4.97286624289047,4.6329237200726965,4.957232626487363
eval-val,240,tm_score,50,239.7,0.7390356702135641,0.7495652869495987,0.741472283350941
eval-val,245,gdt_ts,2,244.5,0.42112652720147536,0.44090594744121714,0.44090594744121714
eval-val,245,lddt,2,244.5,0.6932468402488927,0.6983894924598558,0.6983894924598558
eval-val,245,rmsd,2,244.5,4.032494442686692,3.9460641181440863,4.026106750672675
eval-val,245,tm_score,2,244.5,0.74584850835063,0.7574437745631943,0.7567594965355544
eval-val,246,gdt_ts,1,246,0.0014367816091954023,0.004310344827586207,0.0
eval-val,246,lddt,1,246,0.2831578462569879,0.2850454243739014,0.2828148013093159
eval-val,246,rmsd,1,246,22.275992006250775,21.530072305827705,21.606251763954344
eval-val,246,tm_score,1,246,0.23671093338554933,0.2576400097456704,0.2576400097456704
eval-val,249,gdt_ts,1,249,0.818502824858757,0.8347457627118644,0.7860169491525424
eval-val,249,lddt,1,249,0.8285617419658734,0.8310429249554563,0.8310429249554563
eval-val,249,rmsd,1,249,1.2949681097235595,1.2437767282207515,1.3492873620571477
eval-val,249,tm_score,1,249,0.933093941269185,0.9389423644160702,0.923103817593922
eval-val,250,gdt_ts,46,249.67391304347825,0.4890492917658834,0.50661372999608,0.4942782024965402
eval-val,250,lddt,46,249.67391304347825,0.6338563463614394,0.6392754189554611,0.633817144652796
eval-val,250,rmsd,46,249.67391304347825,4.702590790115874,4.434740773633854,4.746279651362564
eval-val,250,tm_score,46,249.67391304347825,0.7516081217678116,0.7600306128856781,0.753621309778807
eval-val,260,gdt_ts,46,259.6521739130435,0.48070987518396463,0.5001886108272614,0.4764274666030647
eval-val,260,lddt,46,259.6521739130435,0.6337765044277779,0.6385484348375773,0.6337068906328727
eval-val,260,rmsd,46,259.6521739130435,4.761654922441926,4.453508230935658,4.678125961439621
eval-val,260,tm_score,46,259.6521739130435,0.7503245970373227,0.7583390195360045,0.7487433528167491
