format,run,checkpoint_step,cv1_equivalent_step,schedule_fraction,n_rollouts,range,cut,mean_precision,n_proteins,sem
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,medium,L,0.16887348633098873,554,0.003953811329126489
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,medium,L/2,0.2965390089598661,554,0.007286019240614451
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,medium,L/5,0.5094344398997939,554,0.011666287146877233
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,medium,R,0.5340494196759105,553,0.011184851595905343
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,short,AUC,0.955419076431385,554,0.002461028204097769
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,short,L,0.11673899779700175,554,0.002604417495118402
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,short,L/2,0.21490556118532572,554,0.004992568569480053
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,short,L/5,0.42772272648803944,554,0.009784713555971752
contacts_v1,exp177,60000,60000.0,0.8408189576647654,100,short,R,0.6059412272835916,554,0.010389489776235735
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,all,AUC,0.9228571866357237,554,0.003734531789666444
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,all,L,0.4610177913448021,554,0.009730175478498304
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,all,L/2,0.605933833642985,554,0.011879901882600956
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,all,L/5,0.7254126279992522,554,0.011425805975437955
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,all,R,0.5113320693051888,554,0.010651304472483194
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,long,AUC,0.9014211737556825,553,0.004646041214534213
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,long,L,0.29631661760656136,554,0.007187260463025313
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,long,L/2,0.4547439558936229,554,0.011801624631754023
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,long,L/5,0.5920342179262108,554,0.014223806872292081
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,long,R,0.46085022710122237,553,0.011802319212476377
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,medium,AUC,0.9538199707397187,553,0.00266057805540559
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,medium,L,0.17326138481611278,554,0.004054433755759332
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,medium,L/2,0.30532118728648017,554,0.007331111506869481
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,medium,L/5,0.5325294739749954,554,0.011883619085879456
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,medium,R,0.5591138837532543,553,0.011318497628766312
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,short,AUC,0.9583723743086329,554,0.0023889928490249675
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,short,L,0.11766281759335406,554,0.0026179672112892943
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,short,L/2,0.2183514135306513,554,0.00511973437377541
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,short,L/5,0.4388812185778414,554,0.009888935708215718
contacts_v1,exp177,70000,70000.0,0.9809554506088931,100,short,R,0.612724867529619,554,0.010243582607268662
contacts_v1,exp177,71359,71359.0,1.0,100,all,AUC,0.9245909942035521,554,0.003577603414025141
contacts_v1,exp177,71359,71359.0,1.0,100,all,L,0.4596406090798634,554,0.009556558052950519
contacts_v1,exp177,71359,71359.0,1.0,100,all,L/2,0.6070917861939924,554,0.0117759954485954
contacts_v1,exp177,71359,71359.0,1.0,100,all,L/5,0.72130282311024,554,0.011378253512993288
contacts_v1,exp177,71359,71359.0,1.0,100,all,R,0.5112571338332279,554,0.010562886183831381
contacts_v1,exp177,71359,71359.0,1.0,100,long,AUC,0.9033071963315621,553,0.004484017000587777
contacts_v1,exp177,71359,71359.0,1.0,100,long,L,0.2958622888908046,554,0.0070049343893045825
contacts_v1,exp177,71359,71359.0,1.0,100,long,L/2,0.45447039986291476,554,0.011577645410165725
contacts_v1,exp177,71359,71359.0,1.0,100,long,L/5,0.5944441447382162,554,0.013793607641637931
contacts_v1,exp177,71359,71359.0,1.0,100,long,R,0.45952958687695167,553,0.011622126189958299
contacts_v1,exp177,71359,71359.0,1.0,100,medium,AUC,0.9531286755377211,553,0.002625408885642007
contacts_v1,exp177,71359,71359.0,1.0,100,medium,L,0.173142742999753,554,0.004037823088123328
contacts_v1,exp177,71359,71359.0,1.0,100,medium,L/2,0.3055948627519755,554,0.007331858659516904
contacts_v1,exp177,71359,71359.0,1.0,100,medium,L/5,0.5292002109600509,554,0.011796780227795853
contacts_v1,exp177,71359,71359.0,1.0,100,medium,R,0.5588873294899118,553,0.011219084901243388
contacts_v1,exp177,71359,71359.0,1.0,100,short,AUC,0.9597888065795009,554,0.00224417716717413
contacts_v1,exp177,71359,71359.0,1.0,100,short,L,0.11772378113267358,554,0.0026294218849454024
contacts_v1,exp177,71359,71359.0,1.0,100,short,L/2,0.2188309680687903,554,0.005130964999913609
contacts_v1,exp177,71359,71359.0,1.0,100,short,L/5,0.43964107671536884,554,0.009843344418428747
contacts_v1,exp177,71359,71359.0,1.0,100,short,R,0.6183911745498751,554,0.010326787489718277
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,all,AUC,0.8885528091708499,554,0.0046442188847673265
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,all,L,0.4197488297610623,554,0.00969823987249727
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,all,L/2,0.5625004332821275,554,0.012541708005247712
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,all,L/5,0.6760510825065954,554,0.01259809040234627
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,all,R,0.46907921647010387,554,0.010924188909334005
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,long,AUC,0.8548786680774395,553,0.005631656465156384
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,long,L,0.257807000776494,554,0.006893961722355331
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,long,L/2,0.39652687877587117,554,0.011545533494652841
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,long,L/5,0.5301875042583931,554,0.014529056392637766
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,long,R,0.40284947488499834,553,0.011588563401259562
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,medium,AUC,0.9340437331007924,553,0.003858614617196537
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,medium,L,0.1649236013229852,554,0.004026576376931987
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,medium,L/2,0.28839835846663275,554,0.00737947392925996
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,medium,L/5,0.501871895560808,554,0.012464235698654368
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,medium,R,0.524788805856176,553,0.01201252679935915
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,short,AUC,0.9438020379843114,554,0.0034524334787247326
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,short,L,0.11451193424748972,554,0.0026501954187778936
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,short,L/2,0.21068698407470865,554,0.005103788532676974
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,short,L/5,0.4123561762166678,554,0.009545236094304743
delta_v2,full_78500,22000,20000.0,0.2802547770700637,100,short,R,0.5817293954487432,554,0.010752684325090578
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,all,AUC,0.9054057750477245,554,0.004380796199874921
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,all,L,0.46102917876929583,554,0.009825265855837482
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,all,L/2,0.6122237225660169,554,0.012184111428675638
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,all,L/5,0.7212174896068091,554,0.011701140046509443
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,all,R,0.5091141672699215,554,0.010699940711559467
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,long,AUC,0.8775034509523336,553,0.005530894663027021
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,long,L,0.2869011474674573,554,0.0070968167786461065
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,long,L/2,0.4396251920790477,554,0.011724693011076887
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,long,L/5,0.5831755523767443,554,0.014784884774835413
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,long,R,0.43904886139336746,553,0.011792002791239231
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,medium,AUC,0.9436042218393479,553,0.0034183650607677884
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,medium,L,0.17067935308682688,554,0.004059580030778359
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,medium,L/2,0.30815689466532403,554,0.007538460621144654
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,medium,L/5,0.5440483936220859,554,0.011953851071767527
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,medium,R,0.5712864678048467,553,0.01129622976283221
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,short,AUC,0.950873112706245,554,0.003077195073424371
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,short,L,0.11648442843008877,554,0.0026300132828928537
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,short,L/2,0.21810390583093658,554,0.005123457306856955
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,short,L/5,0.4451187286161195,554,0.010151242633614686
delta_v2,full_78500,30000,27272.727272727272,0.3821656050955414,100,short,R,0.6242940519797003,554,0.010582525357887783
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,all,AUC,0.904614258108313,554,0.004352541154960576
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,all,L,0.46358527550588574,554,0.009774939375322197
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,all,L/2,0.6191988420580267,554,0.01224163738868221
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,all,L/5,0.7375704019302567,554,0.01174638425905418
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,all,R,0.5130119303403455,554,0.010520122415716657
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,long,AUC,0.8749648013121077,553,0.0055235343751349536
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,long,L,0.2878798274996378,554,0.007038363721283239
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,long,L/2,0.44307503028328504,554,0.011583672797244596
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,long,L/5,0.5909102282327514,554,0.014583642614667672
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,long,R,0.4432116171656751,553,0.011473608827164562
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,medium,AUC,0.9485016679585153,553,0.0031400163993541832
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,medium,L,0.1738613479492541,554,0.004100154097462177
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,medium,L/2,0.3117688085821775,554,0.007598128418835228
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,medium,L/5,0.5520829720178391,554,0.012046659558128732
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,medium,R,0.5824356210677815,553,0.011326281167488215
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,short,AUC,0.9558202822030324,554,0.002813272714879688
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,short,L,0.11758441944343587,554,0.0026316847901222402
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,short,L/2,0.22151220198385801,554,0.0051311188390099965
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,short,L/5,0.45294828958256605,554,0.010128267799043416
delta_v2,full_78500,36000,32727.272727272724,0.4585987261146497,100,short,R,0.6403139406102965,554,0.01032836527393901
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,all,AUC,0.8854526563250253,554,0.004640418504631089
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,all,L,0.4354730199235864,554,0.009587947397402314
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,all,L/2,0.573068963463483,554,0.012012523844123971
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,all,L/5,0.6862226080395997,554,0.01232589740738924
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,all,R,0.47607367625779995,554,0.010156983679391201
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,long,AUC,0.852631120721338,553,0.005660431697311105
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,long,L,0.26967638348432116,554,0.0068460250119750455
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,long,L/2,0.4068122369205017,554,0.011179219790111475
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,long,L/5,0.5312046322599097,554,0.014046788839006003
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,long,R,0.40551646103468764,553,0.010914286903805014
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,medium,AUC,0.9331728692162775,553,0.003695291015055584
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,medium,L,0.16896667271865412,554,0.004101327340891258
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,medium,L/2,0.3001412397951521,554,0.007555723751672702
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,medium,L/5,0.5149855645686565,554,0.011520191919744165
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,medium,R,0.5414439090283223,553,0.010946238098700758
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,short,AUC,0.9468059838080685,554,0.0031862518963623456
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,short,L,0.11620143114287224,554,0.00266844395163073
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,short,L/2,0.21651383852073355,554,0.005259975917916289
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,short,L/5,0.4391660725253741,554,0.010358356804149569
delta_v2,full_78500,42000,38181.81818181818,0.535031847133758,100,short,R,0.5925548226512527,554,0.010561687774635608
delta_v2,full_78500,48000,43636.36363636363,0.6114649681528662,100,all,AUC,0.9130996467306612,554,0.004279882465942789
delta_v2,full_78500,48000,43636.36363636363,0.6114649681528662,100,all,L,0.48896449804077735,554,0.00986022629228315
delta_v2,full_78500,48000,43636.36363636363,0.6114649681528662,100,all,L/2,0.6469921237037695,554,0.012131495505754096
delta_v2,full_78500,48000,43636.36363636363,0.6114649681528662,100,all,L/5,0.7504002904789726,554,0.011471923690950502
delta_v2,full_78500,48000,43636.36363636363,0.6114649681528662,100,all,R,0.5417903605601735,554,0.010629086493134259
