DMS_id,depth,spearman,n_variants
RFAH_ECOLI_Tsuboyama_2023_2LCL,2,-0.10069422282754041,357
RL20_AQUAE_Tsuboyama_2023_1GYZ,1,0.2090233751916773,1121
RL20_AQUAE_Tsuboyama_2023_1GYZ,2,0.34531135268318525,340
RL40A_YEAST_Mavor_2016,1,0.28527874193956076,1253
RL40A_YEAST_Roscoe_2013,1,0.31408319733287,1195
RL40A_YEAST_Roscoe_2014,1,0.25987978647213017,1380
RNC_ECOLI_Weeks_2023,1,0.4820144638698844,4277
RPC1_BP434_Tsuboyama_2023_1R69,1,0.7038119021699488,1124
RPC1_BP434_Tsuboyama_2023_1R69,2,0.519887836267763,335
RPC1_LAMBD_Li_2019_high-expression,1,0.3128454142063728,351
RPC1_LAMBD_Li_2019_low-expression,1,0.261308866315474,351
RS15_GEOSE_Tsuboyama_2023_1A32,1,0.38653161842776584,1195
S22A1_HUMAN_Yee_2023_abundance,1,0.5246571781344842,9803
S22A1_HUMAN_Yee_2023_activity,1,0.46785962376937545,10094
SAV1_MOUSE_Tsuboyama_2023_2YSB,1,0.21742018243598507,679
SAV1_MOUSE_Tsuboyama_2023_2YSB,2,0.06961998207184343,286
SBI_STAAM_Tsuboyama_2023_2JVG,1,0.33862934071430983,1025
SC6A4_HUMAN_Young_2021,1,0.4310815935189793,11576
SCIN_STAAR_Tsuboyama_2023_2QFF,1,0.2894051341034035,1212
SDA_BACSU_Tsuboyama_2023_1PV0,1,0.3298144206307739,834
SDA_BACSU_Tsuboyama_2023_1PV0,2,0.16218775628993387,1936
SERC_HUMAN_Xie_2023,1,0.22590314701317965,1914
SHOC2_HUMAN_Kwon_2022,1,0.2678082302173986,10972
SOX30_HUMAN_Tsuboyama_2023_7JJK,1,0.39906501675764905,1010
SPA_STAAU_Tsuboyama_2023_1LP1,1,0.20643203204508978,1035
SPA_STAAU_Tsuboyama_2023_1LP1,2,-0.2550778404784888,1070
SPG1_STRSG_Olson_2014,1,0.1560120269554181,1045
SPG1_STRSG_Olson_2014,2,0.15283224697985617,535917
SPG1_STRSG_Wu_2016,1,0.2923581681476419,76
SPG1_STRSG_Wu_2016,2,0.18266171320625801,2091
SPG1_STRSG_Wu_2016,3,0.08919954498593553,26019
SPG1_STRSG_Wu_2016,4,-0.007531991745124943,121174
SPG2_STRSG_Tsuboyama_2023_5UBS,1,0.2407606264903619,1029
SPG2_STRSG_Tsuboyama_2023_5UBS,2,-0.25544771049015785,422
SPIKE_SARS2_Starr_2020_binding,1,-0.038467767983293946,3802
SPIKE_SARS2_Starr_2020_expression,1,0.011928216118557338,3798
SPTN1_CHICK_Tsuboyama_2023_1TUD,1,0.5342923534714351,1051
SPTN1_CHICK_Tsuboyama_2023_1TUD,2,0.43523922717504354,2150
SQSTM_MOUSE_Tsuboyama_2023_2RRU,1,0.18819952725482775,707
SR43C_ARATH_Tsuboyama_2023_2N88,1,0.49609742437250337,889
SR43C_ARATH_Tsuboyama_2023_2N88,2,0.3950706880744865,694
SRBS1_HUMAN_Tsuboyama_2023_2O2W,1,0.5599118615831524,1211
SRBS1_HUMAN_Tsuboyama_2023_2O2W,2,0.287586281466069,345
SRC_HUMAN_Ahler_2019,1,0.5422273039391659,3372
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,1,0.4469936965082113,3637
SRC_HUMAN_Nguyen_2022,1,0.4418383961478606,3366
SUMO1_HUMAN_Weile_2017,1,0.44908921526685,1700
SYUA_HUMAN_Newberry_2020,1,0.06993402025300914,2497
TADBP_HUMAN_Bolognesi_2019,1,0.13805487481488277,1196
