DMS_id,orderings,min_context_fraction,spearman,n_variants,n_dropped,site_out_of_range,wt_mismatch,undefined_ratio
BCHB_CHLTE_Tsuboyama_2023_2KRU,200,0.0,0.17279570168958985,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,200,0.5,0.16776477600905507,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,200,0.75,0.167376195910992,1572,0,0,0,0
BCHB_CHLTE_Tsuboyama_2023_2KRU,200,0.9,0.16210260735410145,1572,0,0,0,0
BLAT_ECOLX_Deng_2012,1,0.0,0.11121247783282875,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,4,0.0,0.18421600332824453,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,16,0.0,0.19966083263804135,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,16,0.5,0.23695512627031523,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,16,0.75,0.24222027029655765,4958,38,0,0,38
BLAT_ECOLX_Deng_2012,64,0.0,0.20512822512879947,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,64,0.5,0.23606752791365077,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,64,0.75,0.24157042750820237,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,64,0.9,0.2525366203314648,4977,19,0,0,19
BLAT_ECOLX_Deng_2012,200,0.0,0.2027528180078177,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,200,0.5,0.23230721002941676,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,200,0.75,0.24212832051339225,4996,0,0,0,0
BLAT_ECOLX_Deng_2012,200,0.9,0.24959801979717655,4996,0,0,0,0
BLAT_ECOLX_Firnberg_2014,1,0.0,0.24786571735954255,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,4,0.0,0.3360712265871684,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,16,0.0,0.3631842521633823,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,16,0.5,0.40497627663431507,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,16,0.75,0.41891074809054557,4764,19,0,0,19
BLAT_ECOLX_Firnberg_2014,64,0.0,0.3818277291001845,4783,0,0,0,0
BLAT_ECOLX_Firnberg_2014,64,0.5,0.4253056291033291,4783,0,0,0,0
