dataset,stem,n_residues,n_true,precision_mf,precision_px
denovo_pdb,6rek_A,251,224,0.8660714285714286,0.8839285714285714
denovo_pdb,6rem_A,251,223,0.820627802690583,0.8834080717488789
denovo_pdb,6reo_A,251,205,0.824390243902439,0.902439024390244
denovo_pdb,6rlh_A,248,214,0.8457943925233645,0.2149532710280373
denovo_pdb,6rli_A,250,214,0.7850467289719626,0.8598130841121495
denovo_pdb,6sa6_A,395,313,0.8210862619808307,0.853035143769968
denovo_pdb,6tjg_A,320,357,0.9131652661064426,0.927170868347339
denovo_pdb,6veh_A,180,128,0.75,0.046875
denovo_pdb,6w3w_A,107,108,0.7314814814814815,0.8981481481481481
denovo_pdb,6w90_A,130,128,0.71875,0.703125
denovo_pdb,6wvs_A,182,196,0.8061224489795918,0.8928571428571429
denovo_pdb,6x9z_A,120,105,0.7523809523809524,0.9047619047619048
denovo_pdb,6xi6_A,269,199,0.3467336683417085,0.8592964824120602
denovo_pdb,6xt4_A,235,169,0.4674556213017751,0.6627218934911243
denovo_pdb,6y7p_A,319,322,0.8913043478260869,0.8695652173913043
denovo_pdb,6ypi_A,87,57,0.7017543859649122,0.6842105263157895
denovo_pdb,6yqx_A,181,221,0.8235294117647058,0.8868778280542986
denovo_pdb,6yqy_A,178,237,0.7426160337552743,0.8354430379746836
denovo_pdb,6z2i_A,168,210,0.7380952380952381,0.7714285714285715
denovo_pdb,7a8s_A,190,237,0.7046413502109705,0.7341772151898734
denovo_pdb,7ah0_A,104,66,0.3939393939393939,0.5909090909090909
denovo_pdb,7awy_A,311,367,0.7574931880108992,0.7983651226158038
denovo_pdb,7awz_A,313,351,0.7777777777777778,0.8062678062678063
denovo_pdb,7ax0_A,317,362,0.8204419889502762,0.856353591160221
denovo_pdb,7ax2_A,311,356,0.7556179775280899,0.8146067415730337
denovo_pdb,7bid_A,286,292,0.8561643835616438,0.928082191780822
denovo_pdb,7dgu_A,97,79,0.810126582278481,0.9113924050632912
denovo_pdb,7dgw_A,94,60,0.5333333333333333,0.7333333333333333
denovo_pdb,7dgy_A,99,64,0.53125,0.890625
denovo_pdb,7dmf_A,189,159,0.4088050314465409,0.610062893081761
denovo_pdb,7f1h_A,189,235,0.1404255319148936,0.0936170212765957
denovo_pdb,7f1i_A,191,228,0.1184210526315789,0.1096491228070175
denovo_pdb,7f1j_A,190,230,0.1304347826086956,0.0956521739130434
denovo_pdb,7f1k_A,193,240,0.1333333333333333,0.0708333333333333
denovo_pdb,7f1l_A,194,251,0.0916334661354581,0.0597609561752988
denovo_pdb,7hiy_A,126,93,0.8494623655913979,0.9032258064516128
denovo_pdb,7hiz_A,126,91,0.8351648351648352,0.912087912087912
denovo_pdb,7hj0_A,126,90,0.8555555555555555,0.9111111111111112
denovo_pdb,7hj1_A,126,93,0.8279569892473119,0.9032258064516128
denovo_pdb,7hj2_A,126,87,0.8390804597701149,0.9080459770114944
denovo_pdb,7hj3_A,126,90,0.8444444444444444,0.9111111111111112
denovo_pdb,7hj4_A,126,93,0.8709677419354839,0.9032258064516128
denovo_pdb,7hj5_A,126,91,0.8241758241758241,0.912087912087912
denovo_pdb,7hj6_A,126,96,0.8541666666666666,0.9270833333333334
denovo_pdb,7hj7_A,126,93,0.8494623655913979,0.913978494623656
denovo_pdb,7hj8_A,126,94,0.8297872340425532,0.9148936170212766
denovo_pdb,7hj9_A,126,92,0.8369565217391305,0.9130434782608696
denovo_pdb,7hja_A,126,90,0.8555555555555555,0.8888888888888888
denovo_pdb,7hjb_A,126,95,0.8526315789473684,0.9052631578947368
denovo_pdb,7hjc_A,126,93,0.8494623655913979,0.9247311827956988
denovo_pdb,7hjd_A,126,93,0.8387096774193549,0.8924731182795699
denovo_pdb,7hje_A,126,93,0.8602150537634409,0.913978494623656
denovo_pdb,7hjf_A,126,93,0.8494623655913979,0.9032258064516128
denovo_pdb,7hjg_A,126,98,0.8673469387755102,0.9183673469387756
denovo_pdb,7hjh_A,126,92,0.8369565217391305,0.9021739130434784
denovo_pdb,7hji_A,126,95,0.8421052631578947,0.8947368421052632
denovo_pdb,7hjj_A,126,93,0.8387096774193549,0.913978494623656
denovo_pdb,7hjk_A,126,92,0.8478260869565217,0.9021739130434784
denovo_pdb,7hjl_A,126,91,0.8461538461538461,0.912087912087912
denovo_pdb,7hjm_A,126,94,0.851063829787234,0.9148936170212766
denovo_pdb,7hjn_A,126,90,0.8333333333333334,0.9333333333333332
denovo_pdb,7hjo_A,126,90,0.8333333333333334,0.9222222222222224
denovo_pdb,7hjp_A,126,93,0.8387096774193549,0.913978494623656
denovo_pdb,7hjq_A,126,93,0.8279569892473119,0.9032258064516128
denovo_pdb,7hjr_A,126,94,0.8617021276595744,0.9148936170212766
denovo_pdb,7hjs_A,126,90,0.8555555555555555,0.9111111111111112
denovo_pdb,7hjt_A,126,90,0.8333333333333334,0.9111111111111112
denovo_pdb,7hju_A,126,93,0.8279569892473119,0.913978494623656
denovo_pdb,7hjv_A,126,92,0.8260869565217391,0.9130434782608696
denovo_pdb,7hjw_A,126,97,0.8556701030927835,0.9175257731958762
denovo_pdb,7hjx_A,126,93,0.8387096774193549,0.9032258064516128
denovo_pdb,7hjy_A,126,91,0.8131868131868132,0.9010989010989012
denovo_pdb,7hjz_A,126,95,0.8526315789473684,0.8842105263157894
denovo_pdb,7hk0_A,126,96,0.8541666666666666,0.9166666666666666
denovo_pdb,7hk1_A,126,90,0.8555555555555555,0.9111111111111112
denovo_pdb,7hk2_A,126,95,0.8631578947368421,0.8947368421052632
denovo_pdb,7hk3_A,126,92,0.8260869565217391,0.8913043478260869
denovo_pdb,7hk4_A,126,96,0.8125,0.90625
denovo_pdb,7jrq_A,127,95,0.7368421052631579,0.7052631578947368
denovo_pdb,7kuw_A,62,13,0.4615384615384615,0.6923076923076923
denovo_pdb,7mcc_A,190,173,0.3872832369942196,0.6820809248554913
denovo_pdb,7ocm_A,174,159,0.7924528301886793,0.0754716981132075
denovo_pdb,7osu_A,183,242,0.7479338842975206,0.7768595041322314
