budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
626,17,10,2,12,2,8,7,2,9,6,2,17.0619146118413,10.451727029800342,1.4863583583583584
627,17,10,2,12,2,8,7,2,9,6,2,17.06135808450365,10.450536810391247,1.488105105105105
628,17,10,2,12,2,8,7,2,9,6,2,17.060805401499486,10.449344748650663,1.4898498498498498
629,17,10,2,12,2,8,7,2,9,6,2,17.060256542313322,10.448150865094089,1.4915925925925926
630,17,10,2,12,2,8,7,2,9,6,2,17.05971148652468,10.446955180141988,1.4933333333333332
631,17,10,2,12,2,8,7,2,9,6,2,17.059170213807725,10.445757714120205,1.4950720720720718
632,17,10,2,12,2,8,7,2,9,6,2,17.058632703930833,10.44455848726036,1.4968088088088087
633,17,10,2,12,2,8,7,2,9,6,2,17.058098936756213,10.443357519700243,1.4985435435435435
634,17,10,2,12,2,8,7,2,9,6,2,17.057568892239516,10.442154831484212,1.5002762762762762
635,17,10,2,12,2,8,7,2,9,6,2,17.0570425504294,10.44095044256359,1.5020070070070068
636,17,10,2,12,2,8,7,2,9,6,2,17.056519891467193,10.43974437279707,1.5037357357357357
637,17,10,2,12,2,8,7,2,9,6,2,17.05600089558645,10.43853664195109,1.5054624624624622
638,17,10,2,12,2,8,7,2,9,6,2,17.055485543112578,10.43732726970024,1.5071871871871871
639,17,10,2,12,2,8,7,2,9,6,2,17.054973814462436,10.43611627562765,1.5089099099099097
640,17,10,2,12,2,8,7,2,9,6,2,17.054465690143978,10.434903679225393,1.5106306306306303
641,17,10,2,12,2,8,7,2,9,6,2,17.053961150755807,10.433689499894843,1.5123493493493492
642,17,10,2,12,2,8,7,2,9,6,2,17.053460176986828,10.432473756947104,1.5140660660660656
643,17,10,2,12,2,8,7,2,9,6,2,17.05296274961584,10.431256469603378,1.5157807807807806
644,17,10,2,12,2,8,7,2,9,6,2,17.052468849511154,10.43003765699535,1.5174934934934934
645,17,10,2,12,2,8,7,2,9,6,2,17.05197845763021,10.428817338165585,1.519204204204204
646,17,10,2,12,2,8,7,2,9,6,2,17.051491555019183,10.427595532067905,1.5209129129129129
647,17,10,2,12,2,8,7,2,9,6,2,17.0510081228126,10.42637225756778,1.5226196196196193
648,17,10,2,12,2,8,7,2,9,6,2,17.050528142232967,10.425147533442708,1.5243243243243239
649,17,10,2,12,2,8,7,2,9,6,2,17.05005159459037,10.4239213783826,1.5260270270270269
650,17,10,2,12,2,8,7,2,9,6,2,17.049578461282106,10.422693810990165,1.5277277277277275
651,17,10,2,12,2,8,7,2,9,6,2,17.04910872379229,10.421464849781287,1.5294264264264261
652,17,10,2,12,2,8,7,2,9,6,2,17.048642363691474,10.420234513185402,1.5311231231231228
