eval_set,range,cut,checkpoint,baseline,n,delta,ci_low,ci_high,significant
eval-denovo,all,R,#232 m1-p02 (decontaminated),ESMFold,19,-0.2072084603183471,-0.2997709431426628,-0.11968809189790404,True
eval-denovo,all,R,#232 m1-p02 (decontaminated),ESMFold2,19,-0.2756398155919807,-0.3678858573294792,-0.19229981969482185,True
eval-denovo,all,R,#232 m1-p02 (decontaminated),Protenix-v2 + MSA,4,-0.09975404721609657,-0.15073529411764708,-0.049682034976152645,True
eval-denovo,all,R,#232 m1-p02 (decontaminated),seq-KNN (unfiltered corpus),19,0.5219226857657963,0.4307096746921691,0.6102527781096189,True
eval-denovo,all,R,#232 m1-p02 (decontaminated),seq-KNN (decontaminated corpus),19,0.5375856572362181,0.4485648145189703,0.6238435888745858,True
eval-denovo,all,R,#199 cooldown (contaminated),Protenix-v2 single-seq,4,-0.06091979075850043,-0.12519872813990457,0.022612270714737454,False
eval-denovo,all,R,#199 cooldown (contaminated),ESMFold,19,-0.176241971342359,-0.27084032986684187,-0.08565816288060644,True
eval-denovo,all,R,#199 cooldown (contaminated),ESMFold2,19,-0.24467332661599256,-0.3372489071041034,-0.15925036822044278,True
eval-denovo,all,R,#199 cooldown (contaminated),Protenix-v2 + MSA,4,-0.062443373164435795,-0.1365262321144674,0.022612270714737454,False
eval-denovo,all,R,#199 cooldown (contaminated),seq-KNN (unfiltered corpus),19,0.5528891747417843,0.46531508273778915,0.6373708193368265,True
eval-denovo,all,R,#199 cooldown (contaminated),seq-KNN (decontaminated corpus),19,0.5685521462122061,0.4812255465414648,0.6523519095869168,True
eval-denovo,all,AUC,#232 m2-p06 (decontaminated),Protenix-v2 single-seq,4,0.04981823586371434,0.03579952354830229,0.06383694817912638,True
eval-denovo,all,AUC,#232 m2-p06 (decontaminated),ESMFold,4,0.044276335380969395,0.013329522211576544,0.06975428751629748,True
eval-denovo,all,AUC,#232 m2-p06 (decontaminated),ESMFold2,4,0.0463785434515778,0.015014348893762908,0.07473904247055563,True
eval-denovo,all,AUC,#232 m2-p06 (decontaminated),Protenix-v2 + MSA,4,0.05054800746231661,0.029510049712063446,0.07158596521256977,True
eval-denovo,all,AUC,#232 m2-p06 (decontaminated),seq-KNN (unfiltered corpus),19,0.4337369031609675,0.4004489816474314,0.4620519158344711,True
eval-denovo,all,AUC,#232 m2-p06 (decontaminated),seq-KNN (decontaminated corpus),19,0.44118113410837156,0.4115091508382002,0.4670336235037728,True
eval-denovo,all,AUC,#232 m1-p02 (decontaminated),Protenix-v2 single-seq,4,0.05313520157215115,0.035993800126243564,0.06575015114682947,True
eval-denovo,all,AUC,#232 m1-p02 (decontaminated),ESMFold,4,0.04759330108940621,0.011014411871400315,0.07570487831007572,True
eval-denovo,all,AUC,#232 m1-p02 (decontaminated),ESMFold2,4,0.04969550916001461,0.013499174117248103,0.07558697074454745,True
eval-denovo,all,AUC,#232 m1-p02 (decontaminated),Protenix-v2 + MSA,4,0.05386497317075342,0.03529605285494525,0.0724338934865616,True
eval-denovo,all,AUC,#232 m1-p02 (decontaminated),seq-KNN (unfiltered corpus),19,0.43576468624887343,0.40102441076907097,0.46478494075756416,True
eval-denovo,all,AUC,#232 m1-p02 (decontaminated),seq-KNN (decontaminated corpus),19,0.4432089171962775,0.4126009007201074,0.4694051046475937,True
eval-denovo,all,AUC,#199 cooldown (contaminated),Protenix-v2 single-seq,4,0.04953791009785624,0.035315424764379266,0.06375906264710784,True
eval-denovo,all,AUC,#199 cooldown (contaminated),ESMFold,4,0.0439960096151113,0.010907644853023035,0.07314218146686707,True
eval-denovo,all,AUC,#199 cooldown (contaminated),ESMFold2,4,0.0460982176857197,0.015055108890405206,0.07078996376631741,True
eval-denovo,all,AUC,#199 cooldown (contaminated),Protenix-v2 + MSA,4,0.05026768169645851,0.03289847688458547,0.06826970637209459,True
eval-denovo,all,AUC,#199 cooldown (contaminated),seq-KNN (unfiltered corpus),19,0.43689722008689064,0.4033281583398713,0.4650494540926574,True
eval-denovo,all,AUC,#199 cooldown (contaminated),seq-KNN (decontaminated corpus),19,0.4443414510342947,0.414508523065174,0.46976057667845555,True
eval-denovo,long,R,#232 m2-p06 (decontaminated),Protenix-v2 single-seq,4,-0.038986464432663376,-0.172700264084507,0.15660112359550563,False
eval-denovo,long,R,#232 m2-p06 (decontaminated),ESMFold,19,-0.223255503003479,-0.33526916792303985,-0.11725077466147114,True
eval-denovo,long,R,#232 m2-p06 (decontaminated),ESMFold2,19,-0.30456680200585157,-0.414701925559589,-0.1996324916225951,True
eval-denovo,long,R,#232 m2-p06 (decontaminated),Protenix-v2 + MSA,4,-0.043219729189745176,-0.19382702464788726,0.15941011235955058,False
eval-denovo,long,R,#232 m2-p06 (decontaminated),seq-KNN (unfiltered corpus),19,0.5091819105549589,0.4046280318190438,0.6086814591991591,True
eval-denovo,long,R,#232 m2-p06 (decontaminated),seq-KNN (decontaminated corpus),19,0.518684834531567,0.4173851660889866,0.6138568535794037,True
eval-denovo,long,R,#232 m1-p02 (decontaminated),Protenix-v2 single-seq,4,-0.08782664385187527,-0.15945956638708653,-0.0234375,True
eval-denovo,long,R,#232 m1-p02 (decontaminated),ESMFold,19,-0.22398703476373952,-0.33382913380305634,-0.11868773803049201,True
eval-denovo,long,R,#232 m1-p02 (decontaminated),ESMFold2,19,-0.305298333766112,-0.41319129089676954,-0.2018363514971835,True
eval-denovo,long,R,#232 m1-p02 (decontaminated),Protenix-v2 + MSA,4,-0.09205990860895708,-0.17777733818642183,-0.0234375,True
eval-denovo,long,R,#232 m1-p02 (decontaminated),seq-KNN (unfiltered corpus),19,0.5084503787946982,0.40468623634111694,0.6074861265017863,True
eval-denovo,long,R,#232 m1-p02 (decontaminated),seq-KNN (decontaminated corpus),19,0.5179533027713065,0.4167198565629477,0.6147740593386579,True
eval-denovo,long,R,#199 cooldown (contaminated),Protenix-v2 single-seq,4,-0.026375069235638537,-0.1569868650102864,0.1640625,False
eval-denovo,long,R,#199 cooldown (contaminated),ESMFold,19,-0.19954241683978421,-0.3216666434634641,-0.08393175214342569,True
eval-denovo,long,R,#199 cooldown (contaminated),ESMFold2,19,-0.28085371584215674,-0.3993950676823086,-0.17079446152172256,True
eval-denovo,long,R,#199 cooldown (contaminated),Protenix-v2 + MSA,4,-0.030608333992720338,-0.17530463680962172,0.1640625,False
eval-denovo,long,R,#199 cooldown (contaminated),seq-KNN (unfiltered corpus),19,0.5328949967186536,0.4255093736803901,0.6352813079494276,True
eval-denovo,long,R,#199 cooldown (contaminated),seq-KNN (decontaminated corpus),19,0.5423979206952618,0.4358291758277136,0.6431580658710214,True
eval-denovo,long,AUC,#232 m2-p06 (decontaminated),Protenix-v2 single-seq,4,0.0705073402232212,0.03989999115659121,0.1088215258855586,True
eval-denovo,long,AUC,#232 m2-p06 (decontaminated),ESMFold,4,0.04323127093486323,0.01308203479791098,0.07123243050298383,True
eval-denovo,long,AUC,#232 m2-p06 (decontaminated),ESMFold2,4,0.04125974513735722,0.015692536173791793,0.06682695410092265,True
eval-denovo,long,AUC,#232 m2-p06 (decontaminated),Protenix-v2 + MSA,4,0.0706515782403346,0.034744766778041974,0.10881620401907355,True
eval-denovo,long,AUC,#232 m2-p06 (decontaminated),seq-KNN (unfiltered corpus),19,0.4394788535890526,0.406744381993708,0.468477551041857,True
eval-denovo,long,AUC,#232 m2-p06 (decontaminated),seq-KNN (decontaminated corpus),19,0.44454938506371083,0.41448549831863474,0.47138282421798544,True
eval-denovo,long,AUC,#232 m1-p02 (decontaminated),Protenix-v2 single-seq,4,0.071809162036397,0.05576097278412373,0.09280743831365423,True
eval-denovo,long,AUC,#232 m1-p02 (decontaminated),ESMFold,4,0.044533092748039044,-0.0006764013771202726,0.07899258792346461,False
eval-denovo,long,AUC,#232 m1-p02 (decontaminated),ESMFold2,4,0.042561566950533036,0.0010711734597335654,0.06916534505605437,True
eval-denovo,long,AUC,#232 m1-p02 (decontaminated),Protenix-v2 + MSA,4,0.07195340005351042,0.050445544789005925,0.09346125531801491,True
eval-denovo,long,AUC,#232 m1-p02 (decontaminated),seq-KNN (unfiltered corpus),19,0.4407103937344307,0.4075724221570811,0.4695273736664079,True
eval-denovo,long,AUC,#232 m1-p02 (decontaminated),seq-KNN (decontaminated corpus),19,0.44578092520908896,0.4152742225615109,0.472284987242044,True
eval-denovo,long,AUC,#199 cooldown (contaminated),Protenix-v2 single-seq,4,0.06977090667578711,0.04151071622240465,0.10477808999394492,True
eval-denovo,long,AUC,#199 cooldown (contaminated),ESMFold,4,0.04249483738742915,0.01147781866172956,0.07497385836450418,True
eval-denovo,long,AUC,#199 cooldown (contaminated),ESMFold2,4,0.040523311589923144,0.013041825140024249,0.06301156376031869,True
eval-denovo,long,AUC,#199 cooldown (contaminated),Protenix-v2 + MSA,4,0.06991514469290053,0.03619528822728685,0.10477276812745986,True
eval-denovo,long,AUC,#199 cooldown (contaminated),seq-KNN (unfiltered corpus),19,0.4437539850466803,0.41163760854664483,0.4718055612153595,True
eval-denovo,long,AUC,#199 cooldown (contaminated),seq-KNN (decontaminated corpus),19,0.4488245165213385,0.41904260185935305,0.47472124971128316,True
