eval_set,stratum,predictor,range,cut,value,n
eval-val,viral,seq-KNN (unfiltered corpus),long,R,0.22069106641902972,6
eval-denovo,non-viral,#199 cooldown (contaminated),all,AUC,0.9668991432687108,19
eval-denovo,non-viral,#199 cooldown (contaminated),all,R,0.6188362267155597,19
eval-denovo,non-viral,#199 cooldown (contaminated),long,AUC,0.9553213531119651,19
eval-denovo,non-viral,#199 cooldown (contaminated),long,R,0.5726387157407323,19
eval-denovo,non-viral,#232 m1-p02 (decontaminated),all,AUC,0.9657666094306936,19
eval-denovo,non-viral,#232 m1-p02 (decontaminated),all,R,0.5878697377395716,19
eval-denovo,non-viral,#232 m1-p02 (decontaminated),long,AUC,0.9522777617997155,19
eval-denovo,non-viral,#232 m1-p02 (decontaminated),long,R,0.5481940978167771,19
eval-denovo,non-viral,#232 m2-p06 (decontaminated),all,AUC,0.9637388263427876,19
eval-denovo,non-viral,#232 m2-p06 (decontaminated),all,R,0.5913805855058719,19
eval-denovo,non-viral,#232 m2-p06 (decontaminated),long,AUC,0.9510462216543374,19
eval-denovo,non-viral,#232 m2-p06 (decontaminated),long,R,0.5489256295770376,19
eval-denovo,non-viral,ESMFold,all,AUC,0.9451433294582825,4
eval-denovo,non-viral,ESMFold,all,R,0.7950781980579187,19
eval-denovo,non-viral,ESMFold,long,AUC,0.9454875735853839,4
eval-denovo,non-viral,ESMFold,long,R,0.7721811325805167,19
eval-denovo,non-viral,ESMFold2,all,AUC,0.9430411213876742,4
eval-denovo,non-viral,ESMFold2,all,R,0.8635095533315522,19
eval-denovo,non-viral,ESMFold2,long,AUC,0.94745909938289,4
eval-denovo,non-viral,ESMFold2,long,R,0.8534924315828892,19
eval-denovo,non-viral,Protenix-v2 + MSA,all,AUC,0.9388716573769353,4
eval-denovo,non-viral,Protenix-v2 + MSA,all,R,0.844401373991464,19
eval-denovo,non-viral,Protenix-v2 + MSA,long,AUC,0.9180672662799125,4
eval-denovo,non-viral,Protenix-v2 + MSA,long,R,0.8325490696053441,19
eval-denovo,non-viral,Protenix-v2 single-seq,all,AUC,0.9396014289755376,4
eval-denovo,non-viral,Protenix-v2 single-seq,all,R,0.835070779859612,19
eval-denovo,non-viral,Protenix-v2 single-seq,long,AUC,0.9182115042970259,4
eval-denovo,non-viral,Protenix-v2 single-seq,long,R,0.8250508506736092,19
eval-denovo,non-viral,seq-KNN (decontaminated corpus),all,AUC,0.5225576922344162,19
eval-denovo,non-viral,seq-KNN (decontaminated corpus),all,R,0.050284080503353604,19
eval-denovo,non-viral,seq-KNN (decontaminated corpus),long,AUC,0.5064968365906266,19
eval-denovo,non-viral,seq-KNN (decontaminated corpus),long,R,0.03024079504547062,19
eval-denovo,non-viral,seq-KNN (unfiltered corpus),all,AUC,0.5300019231818203,19
eval-denovo,non-viral,seq-KNN (unfiltered corpus),all,R,0.06594705197377539,19
eval-denovo,non-viral,seq-KNN (unfiltered corpus),long,AUC,0.5115673680652848,19
eval-denovo,non-viral,seq-KNN (unfiltered corpus),long,R,0.0397437190220788,19
eval-test,non-viral,#199 cooldown (contaminated),all,AUC,0.9600415480940807,204
eval-test,non-viral,#199 cooldown (contaminated),all,R,0.6205713470423981,204
eval-test,non-viral,#199 cooldown (contaminated),long,AUC,0.9538478009779837,204
eval-test,non-viral,#199 cooldown (contaminated),long,R,0.6014606590234527,204
eval-test,non-viral,#232 m1-p02 (decontaminated),all,AUC,0.9281341239577148,204
eval-test,non-viral,#232 m1-p02 (decontaminated),all,R,0.5000044558802577,204
eval-test,non-viral,#232 m1-p02 (decontaminated),long,AUC,0.9162826929896578,204
eval-test,non-viral,#232 m1-p02 (decontaminated),long,R,0.46803231085995456,204
eval-test,non-viral,#232 m2-p06 (decontaminated),all,AUC,0.9401447084350958,204
eval-test,non-viral,#232 m2-p06 (decontaminated),all,R,0.5422908132891113,204
eval-test,non-viral,#232 m2-p06 (decontaminated),long,AUC,0.9310063052619998,204
eval-test,non-viral,#232 m2-p06 (decontaminated),long,R,0.5166894999659095,204
eval-test,non-viral,ESMFold,all,AUC,,0
eval-test,non-viral,ESMFold,all,R,0.7627443424526841,204
eval-test,non-viral,ESMFold,long,AUC,,0
eval-test,non-viral,ESMFold,long,R,0.7484952531963817,204
eval-test,non-viral,ESMFold2,all,AUC,,0
eval-test,non-viral,ESMFold2,all,R,0.8038482438739545,204
eval-test,non-viral,ESMFold2,long,AUC,,0
eval-test,non-viral,ESMFold2,long,R,0.7933513070609679,204
eval-test,non-viral,Protenix-v2 + MSA,all,AUC,,0
eval-test,non-viral,Protenix-v2 + MSA,all,R,0.8467154185641925,204
eval-test,non-viral,Protenix-v2 + MSA,long,AUC,,0
eval-test,non-viral,Protenix-v2 + MSA,long,R,0.8372923576639886,204
eval-test,non-viral,Protenix-v2 single-seq,all,AUC,,0
eval-test,non-viral,Protenix-v2 single-seq,all,R,0.26482434950602085,204
eval-test,non-viral,Protenix-v2 single-seq,long,AUC,,0
eval-test,non-viral,Protenix-v2 single-seq,long,R,0.22537137893157635,204
eval-test,non-viral,seq-KNN (decontaminated corpus),all,AUC,0.7898804879674256,204
eval-test,non-viral,seq-KNN (decontaminated corpus),all,R,0.43823963321194,204
eval-test,non-viral,seq-KNN (decontaminated corpus),long,AUC,0.7805115492129662,204
eval-test,non-viral,seq-KNN (decontaminated corpus),long,R,0.42710238360120256,204
