population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
foldbench_natural,depth_tier,all,seq-KNN (decontaminated corpus),all,R,314,0.4199863858961159,0.39722488254148075,0.4424711744622803
foldbench_natural,depth_tier,all,ESMFold2,long,R,314,0.7847860060054074,0.7651946681006037,0.8032247417821535
foldbench_natural,depth_tier,all,MarinFold #232 m2-p06 (step 363k),long,R,314,0.54450314335356,0.5204783607764081,0.5682068631184648
foldbench_natural,depth_tier,all,Protenix-v2 + MSA,long,R,314,0.8347382178297974,0.822225309355739,0.8460526906915784
foldbench_natural,depth_tier,all,Protenix-v2 single-seq,long,R,314,0.2280590038792827,0.2030213413039217,0.2543184042162305
foldbench_natural,depth_tier,all,seq-KNN (decontaminated corpus),long,R,314,0.4083728515375176,0.3847554136605652,0.43172388157044606
nonfoldbench_designed,depth_tier,10-100,ESMFold2,all,AUC,1,0.9165715709480504,,
nonfoldbench_designed,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),all,AUC,1,0.8658784934180475,,
nonfoldbench_designed,depth_tier,10-100,Protenix-v2 + MSA,all,AUC,1,0.9164905942444252,,
nonfoldbench_designed,depth_tier,10-100,Protenix-v2 single-seq,all,AUC,1,0.9296125576180392,,
nonfoldbench_designed,depth_tier,10-100,ESMFold2,all,R,1,0.8260869565217391,,
nonfoldbench_designed,depth_tier,10-100,MarinFold #232 m2-p06 (step 363k),all,R,1,0.3652173913043478,,
