subset,predictor,feature,n,rho,p,q
eval-test,#232 m1-p02 (decontaminated),residual_identity_cov30,217,0.2390400488297115,0.00038146808575372675,0.0021236367660516747
eval-test,#232 m1-p02 (decontaminated),frac_glycine,217,0.26183116637561205,9.498952287373347e-05,0.0006492954728077985
eval-test,#232 m1-p02 (decontaminated),residual_identity_anycov,217,0.26495045104432463,7.773814430295292e-05,0.000559714638981261
eval-test,#232 m1-p02 (decontaminated),train_afdb_n_hits,217,0.3043539450430434,4.963733572840076e-06,4.061236559596426e-05
eval-test,#232 m1-p02 (decontaminated),msa_depth,217,0.4080889908796076,4.0762590172157394e-10,6.8786870915515605e-09
eval-test,#232 m1-p02 (decontaminated),msa_log_depth,217,0.4080889908796076,4.0762590172157394e-10,6.6702420281712104e-09
eval-test,#232 m1-p02 (decontaminated),train_esm_n_hits,217,0.4320195780255577,2.7972825468727126e-11,4.872685726810531e-10
eval-test,#232 m1-p02 (decontaminated),knn_n_hits,217,0.4374053513017349,1.4860822052673385e-11,2.86601568158701e-10
eval-test,#232 m1-p02 (decontaminated),train_n_hits_significant,217,0.4377111672062684,1.4331761391896893e-11,2.9765965967785856e-10
eval-test,#232 m1-p02 (decontaminated),train_log_n_hits,217,0.4377111672062684,1.4331761391896893e-11,2.866352278379379e-10
eval-test,#232 m1-p02 (decontaminated),n_surviving_alignments,217,0.5517373397407831,1.1008599717238316e-18,3.302579915171495e-17
eval-test,#232 m2-p06 (decontaminated),contacts_per_residue,217,-0.17339255793533834,0.010500647996653258,0.03805603971941449
eval-test,#232 m2-p06 (decontaminated),kingdom_archaea,217,-0.16033592096338245,0.018100010687734952,0.0592363986144053
eval-test,#232 m2-p06 (decontaminated),kingdom_eukaryote,217,-0.15868305342231934,0.019341375873915472,0.06254097587972667
eval-test,#232 m2-p06 (decontaminated),exp199_afdb_best_identity,192,-0.15268881743543036,0.034488272139656516,0.10176867188751103
eval-test,#232 m2-p06 (decontaminated),msa_mean_coverage,217,-0.12584922965997214,0.06423695771785569,0.16209325779272
eval-test,#232 m2-p06 (decontaminated),is_viral,217,-0.1199665627741395,0.07783560238816396,0.19018653977198435
eval-test,#232 m2-p06 (decontaminated),kingdom_virus,217,-0.1199665627741395,0.07783560238816396,0.18932984364688532
eval-test,#232 m2-p06 (decontaminated),is_cytoplasmic,205,-0.11281705098141649,0.10727496371515964,0.2354816276674236
eval-test,#232 m2-p06 (decontaminated),is_nuclear,205,-0.10429789011556455,0.1366851980023495,0.27438664282999525
eval-test,#232 m2-p06 (decontaminated),rg_over_length,217,-0.09755879869461705,0.1520725233130573,0.2975331977864164
eval-test,#232 m2-p06 (decontaminated),frac_polar,217,-0.095287210130916,0.1618892249011674,0.3122149337379657
eval-test,#232 m2-p06 (decontaminated),knn_best_qcov,217,-0.0904228614492186,0.18449586953634575,0.3508020054564321
eval-test,#232 m2-p06 (decontaminated),train_best_evalue_log,209,-0.0855911647789518,0.21786744175006081,0.38700137679287117
eval-test,#232 m2-p06 (decontaminated),has_ec,217,-0.0846547677087719,0.21421040878023287,0.3830252342428005
eval-test,#232 m2-p06 (decontaminated),n_uniprot_xrefs,217,-0.07537476750237068,0.2689429638631839,0.4482382731053065
eval-test,#232 m2-p06 (decontaminated),long_contacts_per_residue,217,-0.07427719996183554,0.27599630869110103,0.45577372077429523
