predictor,feature,importance
Protenix-v2 + MSA,frac_polar,-0.006715298296947272
Protenix-v2 + MSA,frac_charged,0.040135968126027884
Protenix-v2 + MSA,frac_glycine,0.009527174254103063
Protenix-v2 + MSA,frac_proline,-0.012557694931809532
Protenix-v2 + MSA,mean_hydropathy,0.03080412486504852
Protenix-v2 + MSA,frac_low_complexity,-0.015764184699124308
Protenix-v2 + MSA,train_n_hits_significant,-0.0466650809720912
Protenix-v2 + MSA,train_log_n_hits,0.0
Protenix-v2 + MSA,train_best_evalue_log,0.0009352176327885847
Protenix-v2 + MSA,train_afdb_n_hits,0.013591705143330204
Protenix-v2 + MSA,train_esm_n_hits,-0.05008053431855446
Protenix-v2 + MSA,residual_identity_cov40,0.003770749588097033
Protenix-v2 + MSA,residual_identity_cov30,-0.008774709521690013
Protenix-v2 + MSA,residual_identity_anycov,-0.005081202594938846
Protenix-v2 + MSA,n_surviving_alignments,0.10140311336481056
Protenix-v2 + MSA,knn_n_hits,0.023455150617747007
Protenix-v2 + MSA,knn_best_bits,-0.03645891702961381
Protenix-v2 + MSA,knn_best_identity,-0.05403198760534385
Protenix-v2 + MSA,knn_best_qcov,-0.05062001765336838
Protenix-v2 + MSA,frac_helix,0.04515839338507753
Protenix-v2 + MSA,frac_sheet,0.053420451820819295
Protenix-v2 + MSA,frac_coil,-0.0031187777741332216
Protenix-v2 + MSA,n_sse,0.0008806664210445292
Protenix-v2 + MSA,radius_of_gyration,0.040586648481198855
Protenix-v2 + MSA,rg_over_length,0.0025343223755593587
Protenix-v2 + MSA,msa_depth,0.030769023109909872
Protenix-v2 + MSA,msa_log_depth,0.0
Protenix-v2 + MSA,msa_n_near_identical,0.019313960282265886
Protenix-v2 + MSA,msa_mean_coverage,0.05585464756956149
Protenix-v2 + MSA,n_pfam,-0.00025297272328291264
Protenix-v2 + MSA,n_interpro,0.0027943067964429887
Protenix-v2 + MSA,n_go,-0.013230846861882842
Protenix-v2 + MSA,has_ec,0.0
Protenix-v2 + MSA,n_uniprot_domains,-0.0004025862694653798
Protenix-v2 + MSA,n_transmembrane,0.0
Protenix-v2 + MSA,has_signal_peptide,0.0011392590455118535
Protenix-v2 + MSA,is_membrane,0.0
Protenix-v2 + MSA,is_secreted,0.01909973415142086
Protenix-v2 + MSA,is_cytoplasmic,0.0
