selection,cohort,stem,L,bundle_size,n_contact_neighborhoods,n_stable_clusters,fallback_fraction,mean_cluster_visits,mean_retained_cluster_stability
natural-heldout,eval-val,8b5w_A,459,5,3753.0,6.0,0.0,4.5,0.44006892453364577
natural-heldout,eval-val,8e0r_A,468,3,3692.0,130.0,0.0,4.769230769230769,0.4101426201349886
natural-heldout,eval-val,8e0r_A,468,5,3692.0,6.0,0.0,2.3333333333333335,0.3838576772753524
natural-heldout,eval-val,8dmu_A,489,3,4510.0,148.0,0.0,4.97972972972973,0.4215638981528564
natural-heldout,eval-val,8dmu_A,489,5,4510.0,12.0,0.0,2.4166666666666665,0.4091308796429192
natural-heldout,eval-val,7wzm_A,492,3,690.0,22.0,0.0,11.0,0.3621467733874037
natural-heldout,eval-val,7wzm_A,492,5,690.0,3.0,0.0,11.333333333333334,0.5040796898400427
natural-heldout,eval-val,7x8l_A,514,3,1300.0,50.0,0.0,8.94,0.3712725343815784
natural-heldout,eval-val,7x8l_A,514,5,1300.0,2.0,0.0,3.0,0.35697984538035243
natural-heldout,eval-val,8azb_A,521,3,694.0,20.0,0.0,16.0,0.3244298711820084
natural-heldout,eval-val,8azb_A,521,5,694.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7xyr_A,591,3,1229.0,49.0,0.0,9.877551020408163,0.3585620191712247
natural-heldout,eval-val,7xyr_A,591,5,1229.0,0.0,1.0,0.0,0.0
natural-heldout,eval-val,7uww_A,635,3,3212.0,116.0,0.0,6.758620689655173,0.38878356833668615
natural-heldout,eval-val,7uww_A,635,5,3212.0,4.0,0.0,16.0,0.48885264329445416
natural-heldout,eval-val,8bke_A,638,3,1682.0,77.0,0.0,10.7012987012987,0.3878709589385084
natural-heldout,eval-val,8bke_A,638,5,1682.0,14.0,0.0,13.642857142857142,0.5174798915652665
natural-heldout,eval-val,8dge_A,738,3,2058.0,82.0,0.0,9.829268292682928,0.37745351362840057
natural-heldout,eval-val,8dge_A,738,5,2058.0,5.0,0.0,7.4,0.44631045014479664
