group,layer,head,bucket,bucket_index,mass_total,mass_coref,mass_expected,keys_all,keys_coref
struct_pos,3,11,65-128,8,0.09187197525311795,8.03323646539282e-05,0.00042811949319402455,432718,1760
struct_pos,3,11,129-256,9,0.10662177679973767,8.499302223860118e-05,0.0004479419029090119,718284,2817
struct_pos,3,11,257-512,10,0.08596264596324957,5.615924544376778e-05,0.0002981937600111154,935370,3174
struct_pos,3,11,513-1024,11,0.033171603989559616,2.5212850339491578e-05,8.79772663126974e-05,661509,1731
struct_pos,3,11,1025-2048,12,0.002493206250132422,1.963206121872945e-06,5.418003325511271e-06,112003,242
struct_pos,3,12,0,0,0.0049046720498240525,0.0,0.0,15504,0
struct_pos,3,12,1,1,0.001827683392047144,3.885915263264785e-06,1.3371414610596504e-05,7752,40
struct_pos,3,12,2,2,0.0015824472846922737,2.218577637163186e-06,9.884705835367127e-06,7752,50
struct_pos,3,12,3-4,3,0.0035709040229842145,2.0455672701864464e-06,2.0806984877872616e-05,15504,60
struct_pos,3,12,5-8,4,0.0070770422017857266,7.033660987217145e-06,5.299181292282461e-05,31008,178
struct_pos,3,12,9-16,5,0.014106816766923918,1.6802544127097325e-05,8.858417584983635e-05,62016,289
