group,layer,head,mass_self,mass_prev1,mass_prev2,mass_prev3,mass_bos,mass_local_window
seq_pos,4,11,0.00039806031303700636,0.016242677203584292,0.0033384897879560546,0.01580930635831229,0.12093178230205029,0.019581166991540347
seq_pos,4,12,2.6584793859503926e-05,0.017610089918903435,0.002537420336024798,0.01750230153181432,0.029034597547839384,0.02014751025492823
seq_pos,4,13,5.396679338992478e-05,0.014962155928794296,0.0029349848770009114,0.014945790432322569,0.10986163854475102,0.017897140805795207
seq_pos,4,14,8.975043612156917e-05,0.014424919540044157,0.0025245510764444552,0.014055391492555361,0.06493187091099871,0.01694947061648861
seq_pos,4,15,2.2574326514851877e-05,0.017090721682124464,0.002042605881878476,0.016088271995939582,0.06573451835279466,0.01913332756400294
seq_pos,4,16,4.0174862710288304e-05,0.0013507808538154736,0.00010333859413170472,0.0013808705804460738,0.42413385583853447,0.0014541194479471783
seq_pos,4,17,0.0019129202603550442,0.0018659860448079033,0.0008483416060940471,0.0017096013083690046,0.18851599535536523,0.0027143276509019503
seq_pos,4,18,0.012930962400504132,0.013658816657899758,0.0011285465915984057,0.012627256715729273,0.18750128191801407,0.014787363249498163
seq_pos,4,19,0.0003722265366611335,0.0029245014106424063,0.00024618626624299316,0.002586483464958803,0.21408870293283389,0.0031706876768853995
seq_pos,4,20,2.238159420421399e-05,0.017181448603593226,0.0028872863787537573,0.014439220158371957,0.04527255420397374,0.020068734982346983
seq_pos,4,21,2.1147182957886636e-05,0.014305431013108952,0.002137978653983766,0.014718386983615406,0.04118367821551187,0.016443409667092717
seq_pos,4,22,8.363163664294305e-05,0.013638475749473234,0.002851325106769465,0.014460222159021756,0.03395941074522657,0.0164898008562427
seq_pos,4,23,6.090794997597905e-05,0.014013480049845624,0.002474680302895976,0.01332977541641534,0.05380966699290643,0.0164881603527416
seq_pos,4,24,2.098873144065035e-05,0.01751745215904438,0.0014792873890173202,0.014489159042203775,0.040103050610561956,0.018996739548061702
seq_pos,4,25,0.009157180125350332,0.014187535317832461,0.00199024154690591,0.01354923633196811,0.042159554781997184,0.016177776864738373
seq_pos,4,26,1.244802883683102e-05,0.014577941766091656,0.001393455217329299,0.014140486510729596,0.11488747080504409,0.015971396983420955
seq_pos,4,27,9.63710127800068e-05,0.018841999852841098,0.001432021329669508,0.015506843254344418,0.05559483892723941,0.020274021182510607
seq_pos,4,28,0.0003097680233265361,0.00850728804123953,0.0010523289589189728,0.008784325845977081,0.08667784862164792,0.009559617000158501
seq_pos,4,29,0.0035062456552230276,0.009177636340319872,0.0010311588317171326,0.008977855963701188,0.07099568036447958,0.010208795172037006
seq_pos,4,30,0.0017121858144991736,0.021705885435666365,0.003336645336265108,0.020665316653586167,0.04175391627539181,0.025042530771931474
seq_pos,4,31,0.0014915566381003154,0.024331581813508956,0.002528437193068189,0.022975859104317063,0.034307491422091864,0.026860019006577144
seq_pos,5,0,0.0030695282048004537,0.010290415659120956,0.005579661604397098,0.009735460155823399,0.08557812882196587,0.015870077263518054
seq_pos,5,1,0.0027123831203486465,0.007293892984639705,0.0017379974159441932,0.007468616985147259,0.002633660324479273,0.009031890400583898
seq_pos,5,2,0.00034018048121892824,0.006874400037590065,0.001547185313385693,0.006997025603544314,0.002456403472447094,0.008421585350975758
seq_pos,5,3,9.99393225927406e-05,0.011184386708966454,0.0057634841924974955,0.010623961258611873,0.06304371495315443,0.01694787090146395
seq_pos,5,4,0.02004656493508917,0.02856239115326652,0.016454688065101176,0.024677083125957764,0.006041998056239609,0.0450170792183677
seq_pos,5,5,0.020679957487131764,0.026392651042016442,0.017172580469053168,0.02502133473353846,0.027444792396787255,0.04356523151106961
seq_pos,5,6,0.001880032491605492,0.008968469218160424,0.005953251352740515,0.0076338642807740305,0.07213046111743371,0.014921720570900939
seq_pos,5,7,0.001857118496196059,0.008603144782307696,0.006465910830180566,0.00841653011461777,0.09969242511579446,0.015069055612488263
seq_pos,5,8,0.0018213532572083347,0.0029495799694279337,0.0006846769884029956,0.003180213988849449,0.04848211104424227,0.0036342569578309294
seq_pos,5,9,0.00044328693952879253,0.0017324908806384384,0.00032333981148316546,0.0019019744166174815,0.0012696582392289159,0.0020558306921216038
seq_pos,5,10,0.0015588253633248709,0.0045245180412076405,0.0006935277322322393,0.005064122147810391,0.04123211749480086,0.00521804577343988
seq_pos,5,11,0.00011283755992895268,0.004757398824313475,0.0007639769803511297,0.004315365069085549,0.04656319524889572,0.005521375804664604
seq_pos,5,12,0.0005189310943215141,0.004336685778548312,0.0008488453559418722,0.004330156881103437,0.07204443070745212,0.005185531134490184
seq_pos,5,13,0.004290626725517814,0.0017812060211263578,0.0002278241067711782,0.0018496128977140067,0.06257578580358424,0.002009030127897536
seq_pos,5,14,0.0005591509687245956,0.0023276241140970217,0.0004478431863830632,0.003123703390932901,0.0735359756863553,0.002775467300480085
seq_pos,5,15,0.00257986344147984,0.004253643163667485,0.000971085324343994,0.0035339486716670387,0.061817517421820865,0.005224728488011479
seq_pos,5,16,0.03701833945181348,0.011921621114402757,0.006280397451999756,0.011242353459815311,0.08331624808642679,0.018202018566402512
seq_pos,5,17,0.008797186490218644,0.010271637067624649,0.0056591261079524885,0.009761854740356256,0.10766492070842817,0.015930763175577137
seq_pos,5,18,0.0002721270838958561,0.009756138703448509,0.004928705856660902,0.009836753283425839,0.12042876725466933,0.014684844560109411
seq_pos,5,19,0.0015674762811112317,0.010218310940519644,0.004550639221826418,0.009775962425686551,0.09000278993596986,0.014768950162346063
seq_pos,5,20,0.0013223520116956357,0.0009596951366524009,0.001003795887235337,0.0011520563611409373,0.1382955382317537,0.001963491023887738
seq_pos,5,21,0.000422841694580916,0.0010116331068911503,0.0002612263008128744,0.0012803353522816295,0.12366418757555123,0.0012728594077040247
seq_pos,5,22,0.000315106221068655,0.0005010713344169163,0.0002310667445093636,0.0007292979974257725,0.034412660570671626,0.0007321380789262799
seq_pos,5,23,0.0005716445095799689,0.0007198742390319089,0.00033268569207998863,0.0007991737547520437,0.1580059057130323,0.0010525599311118974
seq_pos,5,24,0.00015885904277278804,0.010721533773016852,0.006910457481818412,0.010684739943498882,0.04389330156750186,0.017631991254835264
seq_pos,5,25,0.0008613489011343566,0.011945172403541406,0.007718149306103858,0.011090220022341954,0.0564804916342189,0.019663321709645264
seq_pos,5,26,0.00017778741301626366,0.010472128348108513,0.005825521316648397,0.010029283410111478,0.010413743998218445,0.01629764966475691
