dataset,stem,arm,range,L,n_rollouts,n_true,n_candidates,n_voted,n_unvoted,n_unvoted_negative,n_union_true,union_recall
foldbench_monomer,8amo_A,iid,all,399,100,362,72010,2743,69267,69265,360,0.994475138121547
foldbench_monomer,8amo_A,iid,long,399,100,259,65341,2018,63323,63321,257,0.9922779922779923
foldbench_monomer,8arl_A,iid,all,246,100,260,25651,8880,16771,16630,119,0.4576923076923077
foldbench_monomer,8arl_A,iid,long,246,100,218,21736,6257,15479,15341,80,0.3669724770642202
foldbench_monomer,8au6_A,iid,all,321,100,168,29403,4630,24773,24771,166,0.9880952380952381
foldbench_monomer,8au6_A,iid,long,321,100,118,25200,3546,21654,21652,116,0.9830508474576272
foldbench_monomer,8axj_A,iid,all,162,100,143,12090,1061,11029,11013,127,0.8881118881118881
foldbench_monomer,8axj_A,iid,long,162,100,63,9453,559,8894,8886,55,0.873015873015873
foldbench_monomer,8azb_A,iid,all,521,100,587,122760,2531,120229,120227,585,0.9965928449744463
foldbench_monomer,8azb_A,iid,long,521,100,403,114003,1839,112164,112162,401,0.9950372208436724
foldbench_monomer,8b2e_A,iid,all,143,100,130,9180,1923,7257,7253,126,0.9692307692307692
foldbench_monomer,8b2e_A,iid,long,143,100,75,6903,1196,5707,5705,73,0.9733333333333334
foldbench_monomer,8b2g_A,iid,all,74,100,59,2346,513,1833,1833,59,1.0
foldbench_monomer,8b2g_A,iid,long,74,100,22,1275,271,1004,1004,22,1.0
foldbench_monomer,8b2s_A,iid,all,245,100,186,27510,1715,25795,25786,177,0.9516129032258065
foldbench_monomer,8b2s_A,iid,long,245,100,108,23541,1075,22466,22461,103,0.9537037037037037
foldbench_monomer,8b4u_A,iid,all,277,100,273,34716,929,33787,33783,269,0.9853479853479854
foldbench_monomer,8b4u_A,iid,long,277,100,198,30135,666,29469,29466,195,0.9848484848484849
foldbench_monomer,8b5w_A,iid,all,459,100,370,57985,15229,42756,42663,277,0.7486486486486487
foldbench_monomer,8b5w_A,iid,long,459,100,277,52108,12617,39491,39403,189,0.6823104693140795
foldbench_monomer,8b61_A,iid,all,238,100,212,18351,4482,13869,13858,201,0.9481132075471698
foldbench_monomer,8b61_A,iid,long,238,100,129,15183,3153,12030,12020,119,0.9224806201550387
foldbench_monomer,8b6a_A,iid,all,214,100,195,14365,1895,12470,12465,190,0.9743589743589743
foldbench_monomer,8b6a_A,iid,long,214,100,118,11476,1228,10248,10243,113,0.9576271186440678
foldbench_monomer,8b6e_A,iid,all,66,100,44,1081,171,910,910,44,1.0
foldbench_monomer,8b6e_A,iid,long,66,100,19,406,69,337,337,19,1.0
foldbench_monomer,8baq_A,iid,all,208,100,190,20503,3374,17129,17122,183,0.9631578947368421
foldbench_monomer,8baq_A,iid,long,208,100,137,17020,2463,14557,14553,133,0.9708029197080292
foldbench_monomer,8bau_A,iid,all,189,100,209,16836,3438,13398,13396,207,0.9904306220095693
foldbench_monomer,8bau_A,iid,long,189,100,141,13695,2214,11481,11479,139,0.9858156028368794
foldbench_monomer,8bfy_A,iid,all,426,100,359,75078,2571,72507,72503,355,0.9888579387186629
foldbench_monomer,8bfy_A,iid,long,426,100,266,68265,1827,66438,66434,262,0.9849624060150376
foldbench_monomer,8bgb_A,iid,all,131,100,101,7750,618,7132,7131,100,0.9900990099009901
foldbench_monomer,8bgb_A,iid,long,131,100,58,5671,362,5309,5309,58,1.0
foldbench_monomer,8bke_A,iid,all,638,100,494,89253,7176,82077,82063,480,0.97165991902834
foldbench_monomer,8bke_A,iid,long,638,100,329,81810,5667,76143,76132,318,0.9665653495440729
foldbench_monomer,8bsb_A,iid,all,177,100,115,11781,2216,9565,9565,115,1.0
foldbench_monomer,8bsb_A,iid,long,177,100,94,9180,1697,7483,7483,94,1.0
foldbench_monomer,8bux_A,iid,all,334,100,240,40231,9462,30769,30679,150,0.625
foldbench_monomer,8bux_A,iid,long,334,100,177,35739,7509,28230,28149,96,0.5423728813559322
foldbench_monomer,8c4d_A,iid,all,330,100,229,15931,1818,14113,14110,226,0.9868995633187773
foldbench_monomer,8c4d_A,iid,long,330,100,175,12880,1299,11581,11578,172,0.9828571428571429
foldbench_monomer,8c4y_A,iid,all,314,100,373,46971,2126,44845,44845,373,1.0
foldbench_monomer,8c4y_A,iid,long,314,100,292,41616,1611,40005,40005,292,1.0
foldbench_monomer,8cba_A,iid,all,214,100,245,17955,7602,10353,10308,200,0.8163265306122449
foldbench_monomer,8cba_A,iid,long,214,100,153,14706,5740,8966,8928,115,0.7516339869281046
foldbench_monomer,8ci9_A,iid,all,312,100,337,45150,5859,39291,39280,326,0.9673590504451038
foldbench_monomer,8ci9_A,iid,long,312,100,257,39903,4534,35369,35360,248,0.9649805447470817
foldbench_monomer,8cih_A,iid,all,214,100,158,16668,4878,11790,11766,134,0.8481012658227848
foldbench_monomer,8cih_A,iid,long,214,100,131,13653,3799,9854,9831,108,0.8244274809160306
foldbench_monomer,8cpk_A,iid,all,384,100,353,71631,4477,67154,67140,339,0.9603399433427762
foldbench_monomer,8cpk_A,iid,long,384,100,256,64980,3200,61780,61771,247,0.96484375
foldbench_monomer,8cpn_A,iid,all,207,100,168,11811,3638,8173,8169,164,0.9761904761904762
foldbench_monomer,8cpn_A,iid,long,207,100,110,9576,2815,6761,6757,106,0.9636363636363636
foldbench_monomer,8d2z_A,iid,all,327,100,312,45150,2655,42495,42489,306,0.9807692307692307
foldbench_monomer,8d2z_A,iid,long,327,100,211,39903,1943,37960,37954,205,0.9715639810426541
foldbench_monomer,8daj_A,iid,all,302,100,299,43956,2307,41649,41633,283,0.9464882943143813
foldbench_monomer,8daj_A,iid,long,302,100,215,38781,1550,37231,37218,202,0.9395348837209302
foldbench_monomer,8dez_A,iid,all,173,100,182,14028,4586,9442,9425,165,0.9065934065934066
foldbench_monomer,8dez_A,iid,long,173,100,141,11175,3429,7746,7729,124,0.8794326241134752
foldbench_monomer,8dge_A,iid,all,738,100,914,246078,13093,232985,232940,869,0.9507658643326039
foldbench_monomer,8dge_A,iid,long,738,100,646,233720,10245,223475,223435,606,0.9380804953560371
foldbench_monomer,8dhj_A,iid,all,249,100,267,26580,1101,25479,25478,266,0.9962546816479401
foldbench_monomer,8dhj_A,iid,long,249,100,200,22776,862,21914,21913,199,0.995
foldbench_monomer,8dmu_A,iid,all,489,100,571,110700,24527,86173,85974,372,0.6514886164623468
foldbench_monomer,8dmu_A,iid,long,489,100,418,102501,20549,81952,81761,227,0.5430622009569378
foldbench_monomer,8dp9_A,iid,all,148,100,146,8157,593,7564,7559,141,0.9657534246575342
foldbench_monomer,8dp9_A,iid,long,148,100,111,6186,446,5740,5735,106,0.954954954954955
foldbench_monomer,8dqd_A,iid,all,377,100,395,66430,1431,64999,64991,387,0.979746835443038
foldbench_monomer,8dqd_A,iid,long,377,100,276,60031,1024,59007,59002,271,0.9818840579710145
foldbench_monomer,8dx0_A,iid,all,154,100,135,8926,327,8599,8591,127,0.9407407407407408
foldbench_monomer,8dx0_A,iid,long,154,100,93,6855,238,6617,6613,89,0.956989247311828
foldbench_monomer,8e0r_A,iid,all,468,100,496,85102,20229,64873,64732,355,0.7157258064516129
foldbench_monomer,8e0r_A,iid,long,468,100,323,77938,16285,61653,61519,189,0.5851393188854489
foldbench_monomer,8e5h_A,iid,all,372,100,344,65703,5573,60130,60108,322,0.936046511627907
