subset_definition,split,range,cut,comparator,n_homology_free,n_with_homolog,delta_homology_free,delta_with_homolog,effect,ci_lo,ci_hi,significant
no_hit_at_all,designed,all,R,ESMFold2,52,344,-0.2988584490603338,-0.1342033492409711,-0.16465509981936272,-0.24258013009001056,-0.07789009561139452,True
no_hit_at_all,designed,all,R,Protenix-v2 + MSA,52,344,-0.2334015356398129,-0.14252671062561256,-0.09087482501420033,-0.16831428553554492,-0.0007906169162119635,True
no_hit_at_all,designed,all,R,seq-KNN k=10 (null),52,344,0.5016353606883233,0.3381041815307798,0.16353117915754345,0.09931318552589834,0.23151747861239946,True
no_hit_at_all,designed,long,AUC,Protenix-v2 single-seq,51,344,0.0025497811042657186,0.08457890916133062,-0.0820291280570649,-0.1243503166938978,-0.03640206480118598,True
no_hit_at_all,designed,long,AUC,ESMFold,51,344,0.03857923582670068,0.03460388012444227,0.003975355702258404,-0.04335769601616773,0.055876297207281725,False
no_hit_at_all,designed,long,AUC,ESMFold2,51,344,-0.01930066405316765,0.02097317773574647,-0.04027384178891412,-0.07245390202619914,-0.003429499152237752,True
no_hit_at_all,designed,long,AUC,Protenix-v2 + MSA,51,344,0.007932748297593138,0.011548786890055887,-0.0036160385924627492,-0.04419711853354414,0.040147235658036344,False
no_hit_at_all,designed,long,AUC,seq-KNN k=10 (null),51,344,0.4195715009931163,0.25349269971824334,0.16607880127487296,0.134637395897532,0.19708168424071335,True
no_hit_at_all,designed,long,R,Protenix-v2 single-seq,51,344,-0.328607687619261,-0.03216058077415013,-0.2964471068451109,-0.37673067481023564,-0.2122206012909708,True
no_hit_at_all,designed,long,R,ESMFold,51,344,-0.27659664990670263,-0.14398048701026414,-0.1326161628964385,-0.21582674698099807,-0.040957171902291555,True
no_hit_at_all,designed,long,R,ESMFold2,51,344,-0.38228915927789925,-0.16187779625829118,-0.22041136301960806,-0.2985521610563368,-0.13325764191608613,True
no_hit_at_all,designed,long,R,Protenix-v2 + MSA,51,344,-0.3184934984432918,-0.16947569435942533,-0.14901780408386645,-0.22620024913566342,-0.06684732806379809,True
no_hit_at_all,designed,long,R,seq-KNN k=10 (null),51,344,0.4309145485314097,0.31887836821964755,0.11203618031176216,0.04445571742223506,0.18224388597597777,True
