range,cut,subset,predictor,n,n_valid,mean,sem,n_pairs,delta_marinfold_minus_comparator,ci_lo,ci_hi,significant,split
all,R,no_hit_at_all,Protenix-v2 + MSA,62,62,0.7224763990417264,0.032438523627356226,62.0,-0.22662293873306677,-0.3004382430794829,-0.14785686853670105,True,all
all,R,no_hit_at_all,seq-KNN k=10 (null),62,62,0.010600757351117004,0.006284786643752067,62.0,0.48525270295754264,0.4336587510073526,0.5363503139141221,True,all
long,AUC,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",61,61,0.9160097718757378,0.010483667425498727,,,,,,all
long,AUC,no_hit_at_all,Protenix-v2 single-seq,61,61,0.8941982909204959,0.01879271065564888,61.0,0.02181148095524178,-0.01582838018531144,0.06217237309756187,False,all
long,AUC,no_hit_at_all,ESMFold,61,61,0.872384506680777,0.021162195237846123,61.0,0.04362526519496067,0.002417846221022813,0.08845928864483579,True,all
long,AUC,no_hit_at_all,ESMFold2,61,61,0.9223231702859391,0.013063080449667554,61.0,-0.00631339841020144,-0.035990479843244653,0.025907816727212808,False,all
long,AUC,no_hit_at_all,Protenix-v2 + MSA,61,61,0.9009264910511923,0.01727708304506518,61.0,0.015083280824545492,-0.02119478473920289,0.053993194298420505,False,all
long,AUC,no_hit_at_all,seq-KNN k=10 (null),61,61,0.5002670025182665,0.0004030502839922768,61.0,0.41574276935747134,0.39466938155271436,0.4351092628075748,True,all
long,R,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",61,61,0.4254345171076198,0.03048628288644619,,,,,,all
long,R,no_hit_at_all,Protenix-v2 single-seq,61,61,0.712501147374936,0.03628955963217461,61.0,-0.287066630267316,-0.36449031090504574,-0.2032592246656942,True,all
long,R,no_hit_at_all,ESMFold,61,61,0.6948087441748784,0.039157311716101706,61.0,-0.26937422706725855,-0.3429971246681383,-0.19275330708105845,True,all
long,R,no_hit_at_all,ESMFold2,61,61,0.7731806706722808,0.028992945998841623,61.0,-0.34774615356466115,-0.4255347998766551,-0.2611690205903061,True,all
long,R,no_hit_at_all,Protenix-v2 + MSA,61,61,0.7235287233052398,0.034559598686740134,61.0,-0.2980942061976198,-0.37681183029405807,-0.21302533641531804,True,all
long,R,no_hit_at_all,seq-KNN k=10 (null),61,61,0.00442780475514391,0.0019460730848729732,61.0,0.42100671235247594,0.36155647877508307,0.47984869950653786,True,all
all,AUC,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",10,10,0.9185411991227456,0.01611960940513039,,,,,,natural
all,AUC,no_hit_at_all,Protenix-v2 single-seq,10,10,0.8050262013198447,0.052393289559897964,10.0,0.11351499780290086,0.03226669267499061,0.1933845654272324,True,natural
all,AUC,no_hit_at_all,ESMFold,10,10,0.8325836219732379,0.054393321692187864,10.0,0.08595757714950766,0.008270136558881279,0.17274596285814026,True,natural
all,AUC,no_hit_at_all,ESMFold2,10,10,0.8555108630725069,0.03752499707532091,10.0,0.06303033605023872,0.00792028476764851,0.11904700312274294,True,natural
all,AUC,no_hit_at_all,Protenix-v2 + MSA,10,10,0.8686397796818909,0.043227354191232366,10.0,0.04990141944085473,-0.010072459086595542,0.11694737208079414,False,natural
all,AUC,no_hit_at_all,seq-KNN k=10 (null),10,10,0.5186898367578487,0.019297304712284885,10.0,0.3998513623648968,0.3562234404311385,0.4396982401052312,True,natural
all,R,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",10,10,0.44143500749654374,0.07410506982104086,,,,,,natural
all,R,no_hit_at_all,Protenix-v2 single-seq,10,10,0.5156634351277771,0.10185146444362755,10.0,-0.07422842763123336,-0.26457234323824125,0.1338769475868327,False,natural
all,R,no_hit_at_all,ESMFold,10,10,0.6228438700790493,0.09672777382335315,10.0,-0.1814088625825057,-0.34930162095953976,-0.019157745462658474,True,natural
all,R,no_hit_at_all,ESMFold2,10,10,0.6367401901497783,0.07331136277190772,10.0,-0.19530518265323457,-0.3373887019461299,-0.05166895441743724,True,natural
all,R,no_hit_at_all,Protenix-v2 + MSA,10,10,0.6328092423145304,0.09118984502625,10.0,-0.19137423481798668,-0.3809901033054464,0.02467333531002651,False,natural
all,R,no_hit_at_all,seq-KNN k=10 (null),10,10,0.041372124739060205,0.038166241982235866,10.0,0.40006288275748353,0.30253294715079193,0.5200414162529684,True,natural
long,AUC,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",10,10,0.8961733563690262,0.026266925118911575,,,,,,natural
long,AUC,no_hit_at_all,Protenix-v2 single-seq,10,10,0.7761272061738065,0.0620180081817866,10.0,0.12004615019521965,0.029108033571750864,0.21030371204766596,True,natural
long,AUC,no_hit_at_all,ESMFold,10,10,0.8268133413959395,0.06529624663250143,10.0,0.06936001497308662,-0.009658322878610869,0.15764890342780588,False,natural
long,AUC,no_hit_at_all,ESMFold2,10,10,0.8362517000000999,0.04395601280195395,10.0,0.059921656368926234,-0.0016686745259078366,0.12376457959669793,False,natural
long,AUC,no_hit_at_all,Protenix-v2 + MSA,10,10,0.8446223596570235,0.05147997932574333,10.0,0.05155099671200251,-0.022151313775661107,0.1302541144125031,False,natural
long,AUC,no_hit_at_all,seq-KNN k=10 (null),10,10,0.4999571183533448,4.288164665522953e-05,10.0,0.3962162380156813,0.3476557107459851,0.44381569562492085,True,natural
long,R,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",10,10,0.3813463130573051,0.10882355545956292,,,,,,natural
long,R,no_hit_at_all,Protenix-v2 single-seq,10,10,0.45655355082970106,0.12046956946816323,10.0,-0.07520723777239591,-0.32468891485347023,0.2216647444474532,False,natural
long,R,no_hit_at_all,ESMFold,10,10,0.613886183643399,0.12183959850320666,10.0,-0.23253987058609385,-0.4080110972206722,-0.06952292006763558,True,natural
long,R,no_hit_at_all,ESMFold2,10,10,0.5529231374844513,0.1050156963794001,10.0,-0.17157682442714628,-0.3998171899257714,0.1362668186745868,False,natural
long,R,no_hit_at_all,Protenix-v2 + MSA,10,10,0.5754041288019975,0.11800571339392198,10.0,-0.1940578157446925,-0.46006863214961785,0.1387948531722438,False,natural
long,R,no_hit_at_all,seq-KNN k=10 (null),10,10,0.0108695652173913,0.009941014863560879,10.0,0.37047674783991374,0.17071827717913576,0.5883443250646102,True,natural
all,AUC,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",52,52,0.9398641179340598,0.00896634188800977,,,,,,designed
all,AUC,no_hit_at_all,Protenix-v2 single-seq,52,52,0.9190485808138524,0.01617625347558551,52.0,0.020815537120207443,-0.013238758182358796,0.060453609328586747,False,designed
all,AUC,no_hit_at_all,ESMFold,52,52,0.8873695851453861,0.02036163415203447,52.0,0.052494532788673824,0.011378265131665382,0.09818280165670051,True,designed
all,AUC,no_hit_at_all,ESMFold2,52,52,0.9388822400905907,0.011602137432545059,52.0,0.000981877843469246,-0.025401342822932414,0.0342364858659718,False,designed
all,AUC,no_hit_at_all,Protenix-v2 + MSA,52,52,0.9141217877307077,0.016551125299328628,52.0,0.025742330203352107,-0.008838635235951575,0.06676616962761626,False,designed
all,AUC,no_hit_at_all,seq-KNN k=10 (null),52,52,0.5008160850585436,0.0006679167110840825,52.0,0.43904803287551625,0.42135523616046283,0.4560504200651873,True,designed
all,R,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",52,52,0.5063185473879127,0.02926023832410289,,,,,,designed
all,R,no_hit_at_all,Protenix-v2 single-seq,52,52,0.7486558755201228,0.03380471265503861,52.0,-0.24233732813221012,-0.31821963274210757,-0.15371994055980753,True,designed
all,R,no_hit_at_all,ESMFold,52,52,0.7217744285587422,0.03761318593631261,52.0,-0.21545588117082953,-0.2827628676485298,-0.13718400395035632,True,designed
all,R,no_hit_at_all,ESMFold2,52,52,0.8051769964482466,0.02478920754623539,52.0,-0.2988584490603338,-0.3740443271951238,-0.2110165389201189,True,designed
all,R,no_hit_at_all,Protenix-v2 + MSA,52,52,0.7397200830277257,0.03438411055992691,52.0,-0.2334015356398129,-0.3099002727831523,-0.14363481738774272,True,designed
all,R,no_hit_at_all,seq-KNN k=10 (null),52,52,0.004683186699589465,0.0016239882420027792,52.0,0.5016353606883233,0.4459210043215975,0.5582856361732026,True,designed
long,AUC,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",51,51,0.9198992651123479,0.011469630194398898,,,,,,designed
long,AUC,no_hit_at_all,Protenix-v2 single-seq,51,51,0.9173494840080822,0.017485947166864153,51.0,0.0025497811042657186,-0.03526120538550785,0.04669872485098432,False,designed
long,AUC,no_hit_at_all,ESMFold,51,51,0.8813200292856471,0.021967227101478578,51.0,0.03857923582670068,-0.008266491365787937,0.09015109931817618,False,designed
